"","sample_id","all_reads","all_reads_nonbacteria","all_reads_bacteria","all_reads_bacteria_per","SampleID","Experiment","Timepoint","Variety","Compartment","Treatment","Sample","MergeExpTime"
"1","E1_MRE_Def1_1",49452,3141,46311,"93.6484%","E1_MRE_Def1_1","Exp1","day1","MH63","Root","Defoliation","E1_MRE_Def1","Exp1_day1"
"2","E1_MRE_Def1_2",53742,3062,50680,"94.3024%","E1_MRE_Def1_2","Exp1","day1","MH63","Root","Defoliation","E1_MRE_Def1","Exp1_day1"
"3","E1_MRE_Def1_3",68492,4123,64369,"93.9803%","E1_MRE_Def1_3","Exp1","day1","MH63","Root","Defoliation","E1_MRE_Def1","Exp1_day1"
"4","E1_MRE_Def3_1",89533,96,89437,"99.8928%","E1_MRE_Def3_1","Exp1","day3","MH63","Root","Defoliation","E1_MRE_Def3","Exp1_day3"
"5","E1_MRE_Def3_2",85322,29,85293,"99.966%","E1_MRE_Def3_2","Exp1","day3","MH63","Root","Defoliation","E1_MRE_Def3","Exp1_day3"
"6","E1_MRE_Def3_3",80999,54,80945,"99.9333%","E1_MRE_Def3_3","Exp1","day3","MH63","Root","Defoliation","E1_MRE_Def3","Exp1_day3"
"7","E1_MRE_Def5_1",75721,1189,74532,"98.4298%","E1_MRE_Def5_1","Exp1","day5","MH63","Root","Defoliation","E1_MRE_Def5","Exp1_day5"
"8","E1_MRE_Def5_2",70844,929,69915,"98.6887%","E1_MRE_Def5_2","Exp1","day5","MH63","Root","Defoliation","E1_MRE_Def5","Exp1_day5"
"9","E1_MRE_Def5_3",51982,892,51090,"98.284%","E1_MRE_Def5_3","Exp1","day5","MH63","Root","Defoliation","E1_MRE_Def5","Exp1_day5"
"10","E1_MRE_Def7_1",48252,577,47675,"98.8042%","E1_MRE_Def7_1","Exp1","day7","MH63","Root","Defoliation","E1_MRE_Def7","Exp1_day7"
"11","E1_MRE_Def7_2",53976,230,53746,"99.5739%","E1_MRE_Def7_2","Exp1","day7","MH63","Root","Defoliation","E1_MRE_Def7","Exp1_day7"
"12","E1_MRE_Def7_3",46829,712,46117,"98.4796%","E1_MRE_Def7_3","Exp1","day7","MH63","Root","Defoliation","E1_MRE_Def7","Exp1_day7"
"13","E1_MRE_Int1_1",63486,211,63275,"99.6676%","E1_MRE_Int1_1","Exp1","day1","MH63","Root","Intact","E1_MRE_Int1","Exp1_day1"
"14","E1_MRE_Int1_2",55853,1142,54711,"97.9553%","E1_MRE_Int1_2","Exp1","day1","MH63","Root","Intact","E1_MRE_Int1","Exp1_day1"
"15","E1_MRE_Int1_3",48367,2170,46197,"95.5135%","E1_MRE_Int1_3","Exp1","day1","MH63","Root","Intact","E1_MRE_Int1","Exp1_day1"
"16","E1_MRE_Int3_1",72934,153,72781,"99.7902%","E1_MRE_Int3_1","Exp1","day3","MH63","Root","Intact","E1_MRE_Int3","Exp1_day3"
"17","E1_MRE_Int3_2",63964,78,63886,"99.8781%","E1_MRE_Int3_2","Exp1","day3","MH63","Root","Intact","E1_MRE_Int3","Exp1_day3"
"18","E1_MRE_Int3_3",66871,162,66709,"99.7577%","E1_MRE_Int3_3","Exp1","day3","MH63","Root","Intact","E1_MRE_Int3","Exp1_day3"
"19","E1_MRE_Int5_1",63743,63,63680,"99.9012%","E1_MRE_Int5_1","Exp1","day5","MH63","Root","Intact","E1_MRE_Int5","Exp1_day5"
"20","E1_MRE_Int5_2",85335,101,85234,"99.8816%","E1_MRE_Int5_2","Exp1","day5","MH63","Root","Intact","E1_MRE_Int5","Exp1_day5"
"21","E1_MRE_Int5_3",85160,554,84606,"99.3495%","E1_MRE_Int5_3","Exp1","day5","MH63","Root","Intact","E1_MRE_Int5","Exp1_day5"
"22","E1_MRE_Int7_1",47601,110,47491,"99.7689%","E1_MRE_Int7_1","Exp1","day7","MH63","Root","Intact","E1_MRE_Int7","Exp1_day7"
"23","E1_MRE_Int7_2",38199,471,37728,"98.767%","E1_MRE_Int7_2","Exp1","day7","MH63","Root","Intact","E1_MRE_Int7","Exp1_day7"
"24","E1_MRE_Int7_3",40943,556,40387,"98.642%","E1_MRE_Int7_3","Exp1","day7","MH63","Root","Intact","E1_MRE_Int7","Exp1_day7"
"25","E1_MRS_Def1_1",78801,161,78640,"99.7957%","E1_MRS_Def1_1","Exp1","day1","MH63","Rhizosphere","Defoliation","E1_MRS_Def1","Exp1_day1"
"26","E1_MRS_Def1_2",60340,66,60274,"99.8906%","E1_MRS_Def1_2","Exp1","day1","MH63","Rhizosphere","Defoliation","E1_MRS_Def1","Exp1_day1"
"27","E1_MRS_Def1_3",72645,96,72549,"99.8679%","E1_MRS_Def1_3","Exp1","day1","MH63","Rhizosphere","Defoliation","E1_MRS_Def1","Exp1_day1"
"28","E1_MRS_Def3_1",55423,90,55333,"99.8376%","E1_MRS_Def3_1","Exp1","day3","MH63","Rhizosphere","Defoliation","E1_MRS_Def3","Exp1_day3"
"29","E1_MRS_Def3_2",63978,125,63853,"99.8046%","E1_MRS_Def3_2","Exp1","day3","MH63","Rhizosphere","Defoliation","E1_MRS_Def3","Exp1_day3"
"30","E1_MRS_Def3_3",58244,64,58180,"99.8901%","E1_MRS_Def3_3","Exp1","day3","MH63","Rhizosphere","Defoliation","E1_MRS_Def3","Exp1_day3"
"31","E1_MRS_Def5_1",62465,46,62419,"99.9264%","E1_MRS_Def5_1","Exp1","day5","MH63","Rhizosphere","Defoliation","E1_MRS_Def5","Exp1_day5"
"32","E1_MRS_Def5_2",86536,60,86476,"99.9307%","E1_MRS_Def5_2","Exp1","day5","MH63","Rhizosphere","Defoliation","E1_MRS_Def5","Exp1_day5"
"33","E1_MRS_Def5_3",62992,48,62944,"99.9238%","E1_MRS_Def5_3","Exp1","day5","MH63","Rhizosphere","Defoliation","E1_MRS_Def5","Exp1_day5"
"34","E1_MRS_Def7_1",79008,114,78894,"99.8557%","E1_MRS_Def7_1","Exp1","day7","MH63","Rhizosphere","Defoliation","E1_MRS_Def7","Exp1_day7"
"35","E1_MRS_Def7_2",55587,28,55559,"99.9496%","E1_MRS_Def7_2","Exp1","day7","MH63","Rhizosphere","Defoliation","E1_MRS_Def7","Exp1_day7"
"36","E1_MRS_Def7_3",87945,103,87842,"99.8829%","E1_MRS_Def7_3","Exp1","day7","MH63","Rhizosphere","Defoliation","E1_MRS_Def7","Exp1_day7"
"37","E1_MRS_Int1_1",94215,92,94123,"99.9024%","E1_MRS_Int1_1","Exp1","day1","MH63","Rhizosphere","Intact","E1_MRS_Int1","Exp1_day1"
"38","E1_MRS_Int1_2",91871,105,91766,"99.8857%","E1_MRS_Int1_2","Exp1","day1","MH63","Rhizosphere","Intact","E1_MRS_Int1","Exp1_day1"
