"","taxon","lfc_(Intercept)","lfc_Timepointday3","lfc_Timepointday5","lfc_Timepointday7","lfc_TreatmentIntact","lfc_Timepointday3:TreatmentIntact","lfc_Timepointday5:TreatmentIntact","lfc_Timepointday7:TreatmentIntact","se_(Intercept)","se_Timepointday3","se_Timepointday5","se_Timepointday7","se_TreatmentIntact","se_Timepointday3:TreatmentIntact","se_Timepointday5:TreatmentIntact","se_Timepointday7:TreatmentIntact","W_(Intercept)","W_Timepointday3","W_Timepointday5","W_Timepointday7","W_TreatmentIntact","W_Timepointday3:TreatmentIntact","W_Timepointday5:TreatmentIntact","W_Timepointday7:TreatmentIntact","p_(Intercept)","p_Timepointday3","p_Timepointday5","p_Timepointday7","p_TreatmentIntact","p_Timepointday3:TreatmentIntact","p_Timepointday5:TreatmentIntact","p_Timepointday7:TreatmentIntact","q_(Intercept)","q_Timepointday3","q_Timepointday5","q_Timepointday7","q_TreatmentIntact","q_Timepointday3:TreatmentIntact","q_Timepointday5:TreatmentIntact","q_Timepointday7:TreatmentIntact","diff_(Intercept)","diff_Timepointday3","diff_Timepointday5","diff_Timepointday7","diff_TreatmentIntact","diff_Timepointday3:TreatmentIntact","diff_Timepointday5:TreatmentIntact","diff_Timepointday7:TreatmentIntact","Kingdom","Phylum","Class","Order","Family","Genus","Species","Experiment","Compartment","Variety"
"1","Zotu10087",-0.501282355241616,-0.0157958774469544,0.758817480786888,0.225506011419711,0.233943305386143,2.19890198491796,-0.787654290152187,-0.234617998419229,0.295271351469,0.417584148501677,0.417576864812962,0.417576185920886,0.417576147336118,0.590542245937335,0.590542643601445,0.590541730832167,-1.6977006158833,-0.037826812879826,1.81719234164654,0.540035612716754,0.56024106472211,3.72353036560114,-1.33378054690285,-0.397292834984947,0.0895642814772457,0.969825766080163,0.0691876672124526,0.589172472855919,0.575315020581217,0.000196456219815222,0.182275788122083,0.69115153039429,0.481499241477631,0.987559657342285,0.440018289369155,0.994998576466114,0.997946921085997,0.0279404401514982,0.73989326256744,0.997690064838894,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Pleomorphomonadaceae","Chthonobacter","Pleomorphomonas_sp.","Exp1","Root","MH63"
"2","Zotu1012",-0.414087539421564,1.51252661544324,0.357493212678243,0.687604131793008,0.369098341422199,-1.65533639157295,-0.752534118266245,-0.831871154828582,0.306135806215735,0.432948767218783,0.432941523433638,0.432940848260864,0.432940809887482,0.612271157934477,0.612271553419989,0.612270645651307,-1.35262694207601,3.49354641926699,0.825730943622552,1.58821726929934,0.852537651782295,-2.7036001453299,-1.2290855488268,-1.35866574812463,0.17617484080415,0.000476650109593267,0.408956734935035,0.11223721738212,0.39391575059309,0.00685927750743122,0.219039732752784,0.174252530526752,0.637616765964126,0.00610112140279381,0.868515864095103,0.803951946577241,0.997946921085997,0.191425463383656,0.76818189588593,0.997690064838894,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bacteria","Nitrospirota","4-29-1","4-29-1","4-29-1","4-29-1",NA,"Exp1","Root","MH63"
"3","Zotu10123",-0.224748144248634,-0.0157958774469552,-0.00871088354446092,-0.00554304876693797,0.00289424519949501,1.67835290205204,-0.0201259258208377,0.227480121954068,0.232266987914448,0.32848281461197,0.328475243916339,0.328474538273009,0.328474498167836,0.464533500820449,0.464533914154227,0.464532965417925,-0.967628444604519,-0.0480873785303335,-0.026519147807314,-0.0168751246172113,0.00881117169107047,3.61298571381348,-0.0433249870625286,0.489696402384298,0.333229966101265,0.961646605043173,0.978843261227644,0.986536237621558,0.992969793112294,0.000302691386800382,0.965442473124119,0.624348747996047,0.766920287583676,0.987559657342285,0.991386460599559,0.994998576466114,0.997946921085997,0.0374946750101118,0.986185916274848,0.997690064838894,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter",NA,"Exp1","Root","MH63"
"4","Zotu1015",-0.323895899837391,0.886887522920449,0.222338176642188,0.360661047455765,0.600147401608847,-1.49179541942346,-0.251174986007487,-0.967026190864636,0.286925950138563,0.405782001571411,0.405774685577997,0.405774003674886,0.405773964918986,0.573851441249564,0.573851840677401,0.573850923859792,-1.12884840036593,2.18562558094231,0.547935059885471,0.888822458288219,1.47901899454951,-2.59961953946665,-0.437700061589048,-1.68515227676258,0.258961791048521,0.0288430095075871,0.583736494188111,0.374098504044507,0.139135238290818,0.00933271672827038,0.661603724847908,0.0919591958091347,0.714698714986686,0.123612897889659,0.983135148106292,0.994998576466114,0.997946921085997,0.208402875821663,0.950598372309238,0.944263905519286,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_vadinHA17","Bacteroidetes_vadinHA17",NA,"Exp1","Root","MH63"
"5","Zotu10209",-0.215450496277208,0.215253182739694,-0.00871088354446113,0.225506011419711,0.00289424519949473,-0.222907922833356,1.11360653473321,-0.00356893823258103,0.183201147403676,0.259093555028326,0.259085671751464,0.25908493697285,0.259084895211773,0.366401800186302,0.366402230586201,0.366401242677536,-1.17603246120764,0.830793273557731,-0.033621633668794,0.870394141992677,0.0111710302413771,-0.608370162810378,3.03930064222473,-0.00974051890899835,0.23958190465278,0.406090423208388,0.973178870846309,0.384085046929521,0.99108699282107,0.542941995967999,0.002371280859991,0.992228313241801,0.701363853112359,0.680360918464314,0.991386460599559,0.994998576466114,0.997946921085997,0.860816376761815,0.118256084446304,0.997690064838894,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1","uncultured_bacterium","Exp1","Root","MH63"
"6","Zotu1029",-0.514824447227994,0.811749622970868,0.233487487998036,1.10253573140841,1.33331059626454,-1.73298977414263,-1.05904440915398,-2.67895900321472,0.406852812125923,0.575383836375711,0.575376874699884,0.575376225821619,0.575376188942683,0.813705187455176,0.81370556753856,0.813704695122797,-1.26538254593323,1.41079670934798,0.4057992218054,1.91619966541721,2.31728497266222,-2.12975141471381,-1.30150812702139,-3.29229881463378,0.205734228922294,0.158304565064786,0.684890130508328,0.0553396859536965,0.0204882133537068,0.0331921417690459,0.193084584526767,0.000993719673544258,0.669778436520432,0.395503923128678,0.991386460599559,0.636240700785013,0.600295237006629,0.358335817145471,0.755035442548662,0.224463738024115,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea",NA,"Exp1","Root","MH63"
"7","Zotu104",1.49646326259862,-0.30587734603772,-1.9157761122013,-1.94219294759733,-2.22590468198233,0.574472603559756,2.76518017210551,1.9591519686253,0.319262293942983,0.451512378257879,0.451505179690007,0.451504508731804,0.451504470597957,0.63852413622604,0.638524529242848,0.63852362714065,4.68725336812203,-0.677450632068873,-4.24308778365872,-4.30160255332246,-4.92997262914013,0.89968815737357,4.33057783290552,3.06825289676203,2.76896080597969e-06,0.49812008276245,2.20465145723168e-05,1.69567261540413e-05,8.22411384492854e-07,0.368286227427484,1.48718566434133e-05,0.0021531431682553,0.00027981077618321,0.757837209908006,0.00307735140666652,0.00723486982572429,0.00105268657215085,0.75774078588655,0.00439291765466978,0.318002683311552,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Exp1","Root","MH63"
"8","Zotu104",1.49646326259862,-0.30587734603772,-1.9157761122013,-1.94219294759733,-2.22590468198233,0.574472603559756,2.76518017210551,1.9591519686253,0.319262293942983,0.451512378257879,0.451505179690007,0.451504508731804,0.451504470597957,0.63852413622604,0.638524529242848,0.63852362714065,4.68725336812203,-0.677450632068873,-4.24308778365872,-4.30160255332246,-4.92997262914013,0.89968815737357,4.33057783290552,3.06825289676203,2.76896080597969e-06,0.49812008276245,2.20465145723168e-05,1.69567261540413e-05,8.22411384492854e-07,0.368286227427484,1.48718566434133e-05,0.0021531431682553,0.00027981077618321,0.757837209908006,0.00307735140666652,0.00723486982572429,0.00105268657215085,0.75774078588655,0.00439291765466978,0.318002683311552,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Exp1","Root","MH63"
"9","Zotu1048",-0.0497604326703032,0.1193591585891,-0.23975994373111,-0.236592108953587,-0.228154814987154,0.104035161503886,1.73237253152176,0.227480121954068,0.213374634968801,0.301765104003246,0.301757423882938,0.301756708040318,0.301756667355468,0.426748788063437,0.426749207371495,0.426748244922259,-0.233206878959999,0.395536650877352,-0.794545302799645,-0.78404921133344,-0.756088728665566,0.243785487888535,4.05946279828397,0.533054616300784,0.815600764468622,0.69244687860738,0.426878046409552,0.433011235043001,0.449595999337193,0.807396960284435,4.91857431053791e-05,0.593995773771702,0.913311029364933,0.932653810540982,0.8751797641285,0.994998576466114,0.997946921085997,0.99551800086628,0.00994069755392924,0.997690064838894,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Bacteria","MBNT15","MBNT15","MBNT15","MBNT15","MBNT15",NA,"Exp1","Root","MH63"
"10","Zotu10670",-0.087939213165059,0.812506339149045,-0.239759943731111,-0.236592108953587,-0.228154814987154,-0.589112019056059,1.34465559491986,0.227480121954068,0.178695951124507,0.252722279396664,0.252714362601466,0.25271362469863,0.252713582759988,0.357391405524876,0.357391837754802,0.357390845645622,-0.492116427997783,3.21501666211931,-0.948738889483758,-0.936206384739767,-0.902819755453516,-1.64836649664496,3.76241271587853,0.636502374712838,0.62263703943174,0.00130436950836608,0.342753429548699,0.349166936508111,0.366621564484,0.099277486764832,0.000168282046764199,0.524449033662378,0.84274015535043,0.0135007517847056,0.813465319696615,0.993059196075975,0.997946921085997,0.537705612127896,0.0234601403589884,0.997690064838894,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",NA,"Exp1","Root","MH63"
