"Source","Target","r","p","adjust.p"
"Zotu1025","Zotu1011",0.916585891222402,0,0
"Zotu1041","Zotu1016",0.827073382544507,4.34319247233361e-13,1.20009911955687e-10
"Zotu10430","Zotu10065",0.822405557967868,7.59614593448532e-13,1.86812094839682e-10
"Zotu10430","Zotu10300",0.847807207989579,2.93098878501041e-14,1.4139636445245e-11
"Zotu1063","Zotu1033",0.841285905090533,7.105427357601e-14,2.93427462817813e-11
"Zotu1064","Zotu1036",0.834641926510141,1.69197988952874e-13,5.84404095796482e-11
"Zotu109","Zotu107",0.813200532228806,2.18447482325246e-12,4.41720896386459e-10
"Zotu1092","Zotu1064",0.800422736621863,8.63198401646059e-12,1.32973370590524e-09
"Zotu1113","Zotu10",0.855327031302034,9.76996261670138e-15,5.62909835192797e-12
"Zotu1134","Zotu1036",0.807047773902548,4.28768132110235e-12,7.55304546099101e-10
"Zotu1134","Zotu1064",0.844266945430795,4.75175454539567e-14,2.11095495741186e-11
"Zotu1151","Zotu100",-0.853016881925559,1.37667655053519e-14,7.53696137313026e-12
"Zotu1151","Zotu1033",0.856956482175423,7.7715611723761e-15,4.60850084685421e-12
"Zotu1151","Zotu1063",0.886910195271227,0,0
"Zotu1151","Zotu1064",-0.821894088548988,8.06910094297564e-13,1.95169437592598e-10
"Zotu1155","Zotu1011",0.849698318090478,2.22044604925031e-14,1.13334229171048e-11
"Zotu1155","Zotu1025",0.826250664109006,4.79838391242993e-13,1.29073592452981e-10
"Zotu11729","Zotu10065",0.823273990447243,6.85451695403572e-13,1.72101855126718e-10
"Zotu11729","Zotu10300",0.868215371254885,1.33226762955019e-15,1.05258317032513e-12
"Zotu11729","Zotu10430",0.947568389057751,0,0
"Zotu11729","Zotu11141",0.844997045086854,4.30766533554561e-14,1.9431105157945e-11
"Zotu11736","Zotu11141",0.849505418942938,2.30926389122033e-14,1.17187592962864e-11
"Zotu118","Zotu102",0.829151854644139,3.36619621066347e-13,9.86979949620566e-11
"Zotu11993","Zotu10065",0.800586191923578,8.48698888944455e-12,1.30969128018321e-09
"Zotu11993","Zotu10430",0.838254450716457,1.06137321154165e-13,4.05910648088761e-11
"Zotu11993","Zotu11141",0.855095313551654,1.02140518265514e-14,5.84666949706263e-12
"Zotu11993","Zotu11729",0.87733391228832,4.44089209850063e-16,4.1263236958755e-13
"Zotu11993","Zotu11736",0.828582074496808,3.61044527608101e-13,1.0389696082749e-10
"Zotu12","Zotu1035",0.801003070044401,8.127276629466e-12,1.26155890518434e-09
"Zotu1207","Zotu1033",0.804422290171834,5.67590419109365e-12,9.43183013638769e-10
"Zotu1207","Zotu1063",0.835361459549795,1.54321000422897e-13,5.41525113757916e-11
"Zotu1208","Zotu1064",0.810114043768646,3.07331937676736e-12,5.74767354429129e-10
"Zotu1208","Zotu1134",0.825507267501654,5.24913446042774e-13,1.38932532479544e-10
"Zotu12105","Zotu10300",0.92704375749893,0,0
"Zotu12105","Zotu11729",0.811095434157923,2.75912626079844e-12,5.32226984706341e-10
"Zotu123","Zotu1033",0.841628614555697,6.79456491070596e-14,2.84147412413918e-11
"Zotu123","Zotu1151",0.802021916575916,7.30793203729263e-12,1.15683205146784e-09
"Zotu123","Zotu1207",0.877334242368971,4.44089209850063e-16,4.1263236958755e-13
"Zotu12411","Zotu11736",0.832864454876025,2.1183055309848e-13,6.89253783517709e-11
"Zotu12413","Zotu10430",0.802724781146163,6.78923584018776e-12,1.0920369723267e-09
"Zotu12413","Zotu1113",0.802281472509251,7.11208869574875e-12,1.13467914226135e-09
"Zotu12413","Zotu11729",0.842402366852962,6.12843109593086e-14,2.61258284796046e-11
"Zotu12783","Zotu11141",0.869719564370716,8.88178419700125e-16,7.51202518992718e-13
"Zotu12783","Zotu11729",0.823440832066458,6.71906974503145e-13,1.69995041373742e-10
"Zotu12783","Zotu11736",0.839988190182454,8.43769498715119e-14,3.34318958903066e-11
"Zotu12783","Zotu11993",0.808328833696081,3.73345798720948e-12,6.76181258777487e-10
"Zotu128","Zotu1208",0.806158142858126,4.71755967623722e-12,8.12363046586012e-10
"Zotu1289","Zotu1113",0.809177992460095,3.40438788271058e-12,6.25598946833786e-10
"Zotu1312","Zotu1033",0.823286172734139,6.84341472378946e-13,1.72101855126718e-10
"Zotu1312","Zotu1052",0.821344217441585,8.60644888689421e-13,2.05368879101286e-10
"Zotu1312","Zotu1063",0.860667349961223,4.44089209850063e-15,2.9006829941303e-12
"Zotu132","Zotu100",0.800477637863656,8.58291215877216e-12,1.32294661751944e-09
"Zotu13220","Zotu10065",0.815147251414192,1.75592873574715e-12,3.69800273403962e-10
"Zotu13220","Zotu10430",0.869851003886303,8.88178419700125e-16,7.51202518992718e-13
"Zotu13220","Zotu11729",0.877936675760366,2.22044604925031e-16,2.32515065402508e-13
"Zotu13220","Zotu11993",0.806615473505697,4.49174031302846e-12,7.83924543004556e-10
"Zotu13220","Zotu12413",0.819519026081057,1.06470388061553e-12,2.43042607377566e-10
"Zotu13236","Zotu1",0.874294398610508,4.44089209850063e-16,4.1263236958755e-13
"Zotu13236","Zotu11141",0.896411347431833,0,0
"Zotu13236","Zotu11729",0.878962223187147,2.22044604925031e-16,2.32515065402508e-13
"Zotu13236","Zotu11736",0.878571450442396,2.22044604925031e-16,2.32515065402508e-13
"Zotu13236","Zotu11993",0.886669561441598,0,0
"Zotu13236","Zotu12411",0.802341622501026,7.06767977476375e-12,1.12964296911204e-09
"Zotu13236","Zotu12783",0.848446296995859,2.66453525910038e-14,1.31425337902277e-11
"Zotu13236","Zotu132",-0.80481980026053,5.44142508829282e-12,9.12261484481559e-10
"Zotu133","Zotu132",0.834084400132957,1.81632486828676e-13,6.16856184321897e-11
"Zotu1331","Zotu1033",0.845896278008194,3.79696274421804e-14,1.75166769201484e-11
"Zotu1331","Zotu1063",0.85880053623509,5.77315972805081e-15,3.59301582197461e-12
"Zotu1331","Zotu1151",0.857138021233259,7.54951656745106e-15,4.50721511395631e-12
"Zotu1331","Zotu123",0.819985177176999,1.00852659556949e-12,2.31521922792719e-10
"Zotu135","Zotu1036",0.807961989462798,3.88489240776835e-12,6.9596541971428e-10
"Zotu135","Zotu1064",0.827699975042258,4.02344824124157e-13,1.13069179152668e-10
"Zotu135","Zotu1092",0.829074082279046,3.39950290140223e-13,9.9233520368443e-11
"Zotu135","Zotu1134",0.826990839094773,4.38760139331862e-13,1.21110190216851e-10
"Zotu135","Zotu1208",0.823441527903846,6.71906974503145e-13,1.69995041373742e-10
"Zotu1351","Zotu1036",0.82828049062717,3.74811293113453e-13,1.07157452286736e-10
"Zotu1351","Zotu1064",0.882104858919078,0,0
"Zotu1351","Zotu1114",0.810700890686753,2.88169488271706e-12,5.51036442562337e-10
"Zotu1351","Zotu1134",0.838010407430085,1.0946799022804e-13,4.1444392633208e-11
"Zotu1351","Zotu1208",0.86885241119751,1.33226762955019e-15,1.05258317032513e-12
"Zotu1351","Zotu135",0.838558968672583,1.01918473660589e-13,3.914782035659e-11
"Zotu13577","Zotu11729",0.815041893130732,1.7768009286101e-12,3.73005218332871e-10
"Zotu13577","Zotu12413",0.810394874322614,2.98006064269885e-12,5.62148632147091e-10
"Zotu13577","Zotu13220",0.825244385075359,5.41788836017076e-13,1.42968863414694e-10
