,Id,Label,timeset,modularity_class,labeldiff,kingdom,phylum,class,order,family,genus,species,name,abun
1,Zotu1024,Zotu1024,NA,0,other,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae,NA,Zotu1024,0.000213
2,Zotu102,Zotu102,NA,0,other,Bacteria,Bacteroidota,Kryptonia,Kryptoniales,BSV26,BSV26,uncultured_bacterium,Zotu102,0.002069
3,Zotu1027,Zotu1027,NA,0,other,Bacteria,Sva0485,Sva0485,Sva0485,Sva0485,Sva0485,uncultured_soil,Zotu1027,0.000193
4,Zotu1017,Zotu1017,NA,0,other,Bacteria,Desulfobacterota,uncultured,uncultured,uncultured,uncultured,NA,Zotu1017,0.000222
5,Zotu104,Zotu104,NA,1,diff,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu104,0.000913
6,Zotu1,Zotu1,NA,1,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,uncultured,uncultured_Georgfuchsia,Zotu1,0.021815
7,Zotu10430,Zotu10430,NA,1,diff,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,uncultured,NA,Zotu10430,0.000194
8,Zotu10300,Zotu10300,NA,1,diff,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA,Zotu10300,0.00024
9,Zotu10514,Zotu10514,NA,13,other,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,NA,NA,Zotu10514,0.000312
10,Zotu1044,Zotu1044,NA,13,other,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,NA,Zotu1044,0.000179
11,Zotu1080,Zotu1080,NA,21,other,Bacteria,TA06,TA06,TA06,TA06,TA06,uncultured_soil,Zotu1080,0.000232
12,Zotu1072,Zotu1072,NA,21,other,Bacteria,SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),NA,Zotu1072,0.000239
13,Zotu1102,Zotu1102,NA,13,other,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,NA,Zotu1102,0.000199
14,Zotu1103,Zotu1103,NA,0,other,Bacteria,Sva0485,Sva0485,Sva0485,Sva0485,Sva0485,NA,Zotu1103,0.000196
15,Zotu1007,Zotu1007,NA,0,other,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,uncultured_bacterium,Zotu1007,0.000198
16,Zotu1110,Zotu1110,NA,13,other,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,NA,Zotu1110,0.000155
17,Zotu1111,Zotu1111,NA,0,other,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,uncultured_bacterium,Zotu1111,0.000136
18,Zotu11141,Zotu11141,NA,1,diff,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu11141,0.000146
19,Zotu1119,Zotu1119,NA,0,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,NA,Zotu1119,0.000192
20,Zotu113,Zotu113,NA,13,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,NA,Zotu113,0.001578
21,Zotu1069,Zotu1069,NA,0,other,Bacteria,Desulfobacterota,Desulfuromonadia,PB19,PB19,PB19,metagenome,Zotu1069,0.000181
22,Zotu114,Zotu114,NA,1,other,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,NA,Zotu114,0.001753
23,Zotu1034,Zotu1034,NA,5,other,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,NA,Zotu1034,0.000208
24,Zotu1065,Zotu1065,NA,1,other,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,NA,NA,Zotu1065,0.000245
25,Zotu1142,Zotu1142,NA,1,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu1142,0.000116
26,Zotu1151,Zotu1151,NA,8,other,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomonas,Methylomonas_sp.,Zotu1151,0.000159
27,Zotu116,Zotu116,NA,6,other,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_13,NA,Zotu116,0.00034
28,Zotu1161,Zotu1161,NA,0,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,NA,Zotu1161,0.00018
29,Zotu11729,Zotu11729,NA,1,diff,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA,Zotu11729,0.000964
30,Zotu11736,Zotu11736,NA,1,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Zoogloea,uncultured_bacterium,Zotu11736,0.000152
31,Zotu118,Zotu118,NA,2,other,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomicrobium,uncultured_bacterium,Zotu118,0.001758
32,Zotu1133,Zotu1133,NA,2,other,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomicrobium,uncultured_bacterium,Zotu1133,0.000209
33,Zotu1185,Zotu1185,NA,21,other,Bacteria,TA06,TA06,TA06,TA06,TA06,uncultured_soil,Zotu1185,0.000189
34,Zotu1194,Zotu1194,NA,0,other,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,MBNT15,NA,Zotu1194,0.000225
35,Zotu1204,Zotu1204,NA,2,other,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomicrobium,uncultured_bacterium,Zotu1204,0.000165
36,Zotu1205,Zotu1205,NA,1,other,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,NA,NA,Zotu1205,0.00022
37,Zotu121,Zotu121,NA,1,diff,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA,Zotu121,0.001046
38,Zotu117,Zotu117,NA,1,diff,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA,Zotu117,0.000733
39,Zotu12105,Zotu12105,NA,1,diff,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA,Zotu12105,0.00016
40,Zotu1220,Zotu1220,NA,0,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,NA,Zotu1220,0.000169
41,Zotu1225,Zotu1225,NA,1,other,Bacteria,Chloroflexi,TK10,TK10,TK10,TK10,uncultured_bacterium,Zotu1225,0.000116
42,Zotu123,Zotu123,NA,8,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu123,0.00163
43,Zotu1195,Zotu1195,NA,1,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,NA,Zotu1195,0.000183
44,Zotu1244,Zotu1244,NA,0,other,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,uncultured_bacterium,Zotu1244,0.000166
45,Zotu1245,Zotu1245,NA,0,other,Bacteria,Latescibacterota,Latescibacterota,Latescibacterota,Latescibacterota,Latescibacterota,NA,Zotu1245,0.000168
46,Zotu1249,Zotu1249,NA,13,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,NA,Zotu1249,0.000174
47,Zotu125,Zotu125,NA,0,other,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thioalkalispira-Sulfurivermis,uncultured_bacterium,Zotu125,0.001697
48,Zotu1006,Zotu1006,NA,0,other,Bacteria,Proteobacteria,Gammaproteobacteria,CCD24,CCD24,CCD24,NA,Zotu1006,0.000213
49,Zotu1240,Zotu1240,NA,0,other,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta,uncultured_soil,Zotu1240,0.000162
50,Zotu1256,Zotu1256,NA,0,other,Bacteria,Chloroflexi,Anaerolineae,SJA-15,SJA-15,SJA-15,NA,Zotu1256,0.000123
51,Zotu1167,Zotu1167,NA,0,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,NA,Zotu1167,0.000105
52,Zotu127,Zotu127,NA,1,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu127,0.000809
53,Zotu1271,Zotu1271,NA,13,other,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,BIrii41,NA,Zotu1271,0.000126
54,Zotu1250,Zotu1250,NA,13,diff,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,Zotu1250,0.000103
55,Zotu12783,Zotu12783,NA,1,diff,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,NA,Zotu12783,0.000168
56,Zotu1282,Zotu1282,NA,2,other,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomicrobium,uncultured_gamma,Zotu1282,0.000142
57,Zotu129,Zotu129,NA,1,other,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,NA,NA,Zotu129,0.001756
58,Zotu1213,Zotu1213,NA,1,other,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,NA,NA,Zotu1213,0.000247
59,Zotu1291,Zotu1291,NA,13,other,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Blastococcus,NA,Zotu1291,0.000113
60,Zotu1045,Zotu1045,NA,13,other,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,BIrii41,NA,Zotu1045,0.000196
61,Zotu1295,Zotu1295,NA,6,other,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,NA,Zotu1295,0.000218
62,Zotu1231,Zotu1231,NA,6,diff,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,Clostridium_saccharobutylicum,Zotu1231,0.000251
63,Zotu13,Zotu13,NA,1,other,Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,Leptonema,NA,Zotu13,0.003382
64,Zotu108,Zotu108,NA,1,other,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Geothrix,metagenome,Zotu108,0.00084
65,Zotu130,Zotu130,NA,1,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,Bacteroidetes_BD2-2,uncultured_prokaryote,Zotu130,0.00088
66,Zotu101,Zotu101,NA,1,diff,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,uncultured_bacterium,Zotu101,0.000975
