,Id,Label,timeset,modularity_class,labeldiff,kingdom,phylum,class,order,family,genus,species,name,abun
1,Zotu1025,Zotu1025,NA,0,other,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas_roseiflava,Zotu1025,0.000321
2,Zotu1011,Zotu1011,NA,0,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,NA,Zotu1011,0.00029
3,Zotu1041,Zotu1041,NA,1,other,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacterales,BBMC-4,uncultured_Leptospira,Zotu1041,0.000515
4,Zotu1016,Zotu1016,NA,1,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu1016,0.001067
5,Zotu10430,Zotu10430,NA,7,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,uncultured,NA,Zotu10430,0.000374
6,Zotu10065,Zotu10065,NA,7,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu10065,0.00123
7,Zotu10300,Zotu10300,NA,2,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA,Zotu10300,0.000373
8,Zotu1063,Zotu1063,NA,16,other,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,uncultured_bacterium,Zotu1063,0.000244
9,Zotu1033,Zotu1033,NA,16,other,Bacteria,Deinococcota,Deinococci,Thermales,Thermaceae,Meiothermus,uncultured_bacterium,Zotu1033,0.000189
10,Zotu1064,Zotu1064,NA,22,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,SB-5,SB-5,uncultured_soil,Zotu1064,0.00017
11,Zotu1036,Zotu1036,NA,22,other,Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,Turneriella,uncultured_bacterium,Zotu1036,0.000135
12,Zotu109,Zotu109,NA,3,other,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,uncultured,NA,Zotu109,0.000239
13,Zotu107,Zotu107,NA,3,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu107,0.000255
14,Zotu1092,Zotu1092,NA,22,diff,Bacteria,FCPU426,FCPU426,FCPU426,FCPU426,FCPU426,metagenome,Zotu1092,0.000191
15,Zotu1113,Zotu1113,NA,4,other,Bacteria,Firmicutes,Bacilli,Bacillales,NA,NA,NA,Zotu1113,0.000775
16,Zotu10,Zotu10,NA,4,other,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,uncultured_bacterium,Zotu10,0.021418
17,Zotu1134,Zotu1134,NA,22,other,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,uncultured_bacterium,Zotu1134,0.000193
18,Zotu1151,Zotu1151,NA,16,other,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomonas,Methylomonas_sp.,Zotu1151,0.000101
19,Zotu100,Zotu100,NA,22,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA,Zotu100,0.00204
20,Zotu1155,Zotu1155,NA,0,other,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas_roseiflava,Zotu1155,0.000286
21,Zotu11729,Zotu11729,NA,7,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA,Zotu11729,0.002093
22,Zotu11141,Zotu11141,NA,7,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu11141,0.000113
23,Zotu11736,Zotu11736,NA,7,diff,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Zoogloea,uncultured_bacterium,Zotu11736,0.000168
24,Zotu118,Zotu118,NA,8,other,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomicrobium,uncultured_bacterium,Zotu118,0.000198
25,Zotu102,Zotu102,NA,8,other,Bacteria,Bacteroidota,Kryptonia,Kryptoniales,BSV26,BSV26,uncultured_bacterium,Zotu102,0.000175
26,Zotu11993,Zotu11993,NA,7,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,NA,NA,Zotu11993,0.000372
27,Zotu12,Zotu12,NA,18,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,Sideroxydans,NA,Zotu12,0.020722
28,Zotu1035,Zotu1035,NA,8,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,uncultured,uncultured_soil,Zotu1035,0.000243
29,Zotu1207,Zotu1207,NA,16,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu1207,0.000264
30,Zotu1208,Zotu1208,NA,22,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhizobacter,NA,Zotu1208,0.000109
31,Zotu12105,Zotu12105,NA,2,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA,Zotu12105,0.000271
32,Zotu123,Zotu123,NA,16,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu123,0.001943
33,Zotu12411,Zotu12411,NA,7,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu12411,0.000105
34,Zotu12413,Zotu12413,NA,7,other,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,uncultured_soil,Zotu12413,0.000223
35,Zotu12783,Zotu12783,NA,7,diff,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,NA,Zotu12783,0.000243
36,Zotu128,Zotu128,NA,22,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu128,0.001979
37,Zotu1289,Zotu1289,NA,4,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Afipia,NA,Zotu1289,0.000228
38,Zotu1312,Zotu1312,NA,16,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,NA,Zotu1312,0.000118
39,Zotu1052,Zotu1052,NA,16,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,Phreatobacter,uncultured_bacterium,Zotu1052,0.000379
