"Source","Target","r","p","adjust.p"
"Zotu1024","Zotu102",0.806969932016577,4.32365254710021e-12,1.01730030258608e-09
"Zotu1027","Zotu1017",0.809108924322788,3.43014505688188e-12,8.57041169769312e-10
"Zotu1027","Zotu102",0.818695043365667,1.17106324637462e-12,3.87640568752546e-10
"Zotu104","Zotu1",0.859639600521059,5.32907051820075e-15,7.15217577413423e-12
"Zotu10430","Zotu1",0.91758481271658,0,0
"Zotu10430","Zotu1027",-0.817412164220541,1.35713662530179e-12,4.29666036910982e-10
"Zotu10430","Zotu10300",0.830402246944698,2.88657986402541e-13,1.39815800669588e-10
"Zotu10430","Zotu104",0.803070315131449,6.54698517621455e-12,1.38540706800259e-09
"Zotu10514","Zotu1044",0.812664729223397,2.31903385383703e-12,6.42340967274708e-10
"Zotu1080","Zotu1072",0.861735635929184,3.77475828372553e-15,5.67886026372056e-12
"Zotu1102","Zotu1044",0.80091246740187,8.20410406277006e-12,1.63515397859528e-09
"Zotu1103","Zotu1007",0.802301600646105,7.09721170721878e-12,1.46956617075338e-09
"Zotu1103","Zotu1017",0.855196376637451,1.02140518265514e-14,1.13898289034021e-11
"Zotu1103","Zotu102",0.81543806799092,1.69908531688634e-12,5.09705740016202e-10
"Zotu1103","Zotu1027",0.851900108577633,1.64313007644523e-14,1.65210293593769e-11
"Zotu1110","Zotu1044",0.84575260806983,3.86357612569554e-14,3.12231035846372e-11
"Zotu1110","Zotu10514",0.839771534438558,8.70414851306123e-14,5.68290936194782e-11
"Zotu1110","Zotu1102",0.873451761925261,4.44089209850063e-16,1.0824589260853e-12
"Zotu1111","Zotu1007",0.871240912744925,8.88178419700125e-16,1.89000764872036e-12
"Zotu1111","Zotu1103",0.808251900108578,3.76476627650391e-12,9.1914003343072e-10
"Zotu11141","Zotu10430",0.854889169632761,1.06581410364015e-14,1.17654273027386e-11
"Zotu1119","Zotu1017",0.835803072246648,1.45661260830821e-13,8.32534491895827e-11
"Zotu1119","Zotu1027",0.820888638283073,9.07718344933528e-13,3.23228940826842e-10
"Zotu113","Zotu1",-0.801671732522796,7.58038076753564e-12,1.5433903402316e-09
"Zotu113","Zotu1044",0.827739885282025,4.00568467284756e-13,1.76907825622024e-10
"Zotu113","Zotu10514",0.840665454756358,7.72715225139109e-14,5.24660592592722e-11
"Zotu113","Zotu1069",0.808080927240292,3.83515441626514e-12,9.31668411165547e-10
"Zotu113","Zotu1110",0.801262071868206,7.91100518426902e-12,1.5934122369722e-09
"Zotu114","Zotu1034",0.869896071669569,8.88178419700125e-16,1.89000764872036e-12
"Zotu114","Zotu1065",-0.811746452549593,2.56772381135306e-12,6.93982236266043e-10
"Zotu1142","Zotu1",0.801604340673535,7.63389351732258e-12,1.55245190038869e-09
"Zotu1151","Zotu1069",-0.811461327296453,2.64988031517532e-12,7.10651487867467e-10
"Zotu1151","Zotu1102",-0.81196874591887,2.50532927736913e-12,6.80660336770447e-10
"Zotu116","Zotu10514",0.826322047225041,4.75619543749417e-13,2.00557264154296e-10
"Zotu1161","Zotu1119",0.811377082994084,2.67474931092693e-12,7.14937263036512e-10
"Zotu11729","Zotu1",0.865935735996526,1.77635683940025e-15,3.19414109336645e-12
"Zotu11729","Zotu1007",-0.813395570994355,2.13740136700835e-12,6.03672292033714e-10
"Zotu11729","Zotu1027",-0.820866360282165,9.10160835587703e-13,3.23844673152713e-10
"Zotu11729","Zotu10300",0.882297066571836,0,0
"Zotu11729","Zotu104",0.805254016500217,5.19584375524573e-12,1.16872872304679e-09
"Zotu11729","Zotu10430",0.91802002220859,0,0
"Zotu11729","Zotu11141",0.851417525354389,1.73194791841524e-14,1.71426329516626e-11
"Zotu11736","Zotu1",0.901660225388942,0,0
"Zotu11736","Zotu10430",0.827148090465241,4.30322444344711e-13,1.86630782239915e-10
"Zotu11736","Zotu11729",0.821829696918101,8.1290529863054e-13,2.98119552212332e-10
"Zotu118","Zotu1133",0.849068927532338,2.44249065417534e-14,2.23257153505093e-11
"Zotu1185","Zotu1072",0.825683120248347,5.13811215796522e-13,2.12235694574783e-10
"Zotu1194","Zotu1027",0.801758771416981,7.51176898461381e-12,1.53356132042178e-09
"Zotu1204","Zotu1133",0.809598813694112,3.25162119452216e-12,8.22020306127172e-10
"Zotu1204","Zotu118",0.867781155015198,1.33226762955019e-15,2.523471750764e-12
"Zotu1205","Zotu114",0.804087919797356,5.88062931683453e-12,1.28421555549586e-09
"Zotu121","Zotu1",0.823491098567086,6.67910171614494e-13,2.582913529782e-10
"Zotu121","Zotu10430",0.832773362961131,2.1449508835758e-13,1.11744254034155e-10
"Zotu121","Zotu114",-0.815169584613093,1.75148784364865e-12,5.20893002765049e-10
"Zotu121","Zotu117",0.809161962657403,3.41016104243863e-12,8.52401084780911e-10
"Zotu121","Zotu11729",0.818063395570994,1.25943699913478e-12,4.08269072976105e-10
"Zotu12105","Zotu10300",0.8653527961398,2.22044604925031e-15,3.77336034093115e-12
"Zotu12105","Zotu11729",0.82816659764552,3.80140363631654e-13,1.70886548495105e-10
"Zotu1220","Zotu1069",0.815597360563818,1.66866520601161e-12,5.03963206585463e-10
"Zotu1225","Zotu10430",-0.800063799327821,8.95861163030531e-12,1.74762162302017e-09
"Zotu1225","Zotu121",-0.805547531282189,5.03552755048986e-12,1.14096354415515e-09
"Zotu123","Zotu1",0.847047329570126,3.24185123190546e-14,2.74296306410184e-11
"Zotu123","Zotu1102",-0.816869300911854,1.4441781104324e-12,4.50601870099961e-10
"Zotu123","Zotu1110",-0.837683075134943,1.14130926931466e-13,6.91637429844004e-11
"Zotu123","Zotu113",-0.868215371254885,1.33226762955019e-15,2.523471750764e-12
"Zotu123","Zotu1151",0.846541963587279,3.46389583683049e-14,2.88232683697609e-11
"Zotu123","Zotu1195",-0.802507667134088,6.94555524205498e-12,1.44735414749001e-09
"Zotu1244","Zotu1007",0.830072716243386,3.00648395068492e-13,1.43719581226258e-10
"Zotu1244","Zotu1027",0.808634057796501,3.61177754371056e-12,8.92443381260825e-10
"Zotu1244","Zotu1103",0.804937196432365,5.37392352839561e-12,1.19782531262622e-09
"Zotu1244","Zotu1111",0.834620818562047,1.69642078162724e-13,9.33343175255217e-11
"Zotu1245","Zotu102",0.836626139817629,1.31006316905768e-13,7.69552408381722e-11
"Zotu1249","Zotu1044",0.807920068911425,3.90265597616235e-12,9.44207193905477e-10
"Zotu1249","Zotu1195",0.811195289840622,2.72892819452863e-12,7.24998488714491e-10
"Zotu125","Zotu1",-0.815675206252714,1.65401026208656e-12,4.99912586110051e-10
"Zotu125","Zotu1006",0.820125922709509,9.92317339409965e-13,3.43948136402503e-10
"Zotu125","Zotu1024",0.8088155513956,3.5411673593444e-12,8.77692296819857e-10
"Zotu125","Zotu1119",0.812929139713712,2.25175433854474e-12,6.28466563135363e-10
"Zotu125","Zotu113",0.828593139383413,3.60600438398251e-13,1.64368545806847e-10
"Zotu125","Zotu1240",0.807750759878419,3.97459842815806e-12,9.54530982740723e-10
"Zotu1256","Zotu1167",0.82705956374463,4.34985381048136e-13,1.87775640951618e-10
"Zotu127","Zotu1",0.848333519275868,2.70894418008538e-14,2.39624980008399e-11
"Zotu127","Zotu10430",0.847825729169907,2.90878432451791e-14,2.52853202672915e-11
"Zotu1271","Zotu1006",0.851658903237279,1.68753899743024e-14,1.68273160327805e-11
"Zotu1271","Zotu10514",0.816863963391372,1.4450662888521e-12,4.507624265805e-10
"Zotu1271","Zotu113",0.845393472482952,4.08562073062058e-14,3.24951743532792e-11
"Zotu1271","Zotu116",0.802157053553548,7.20534742981727e-12,1.48609120640826e-09
"Zotu1271","Zotu1225",0.806333129278201,4.62985205729183e-12,1.07096661987761e-09
"Zotu1271","Zotu1249",0.820636928247816,9.34807786734382e-13,3.29697497663762e-10
"Zotu1271","Zotu1250",0.805757629447795,4.92406115881749e-12,1.1220284727771e-09
"Zotu12783","Zotu1",0.85714324454068,7.54951656745106e-15,9.08164692224106e-12
"Zotu12783","Zotu10430",0.870566267929173,8.88178419700125e-16,1.89000764872036e-12
"Zotu12783","Zotu1142",0.806090238409388,4.75175454539567e-12,1.09147375035123e-09
"Zotu12783","Zotu11729",0.826175909217857,4.84057238736568e-13,2.02510649642622e-10
"Zotu12783","Zotu11736",0.821303269263212,8.64641691578072e-13,3.11692867313593e-10
"Zotu12783","Zotu121",0.806182962904174,4.70490313375649e-12,1.08375620289104e-09
"Zotu1282","Zotu118",0.808261188454089,3.76099151822018e-12,9.18404290484338e-10
"Zotu129","Zotu1",0.855405992184108,9.76996261670138e-15,1.10271073012805e-11
"Zotu129","Zotu10300",0.827204386007676,4.27435864480685e-13,1.85846495350185e-10
"Zotu129","Zotu10430",0.849528928403516,2.28705943072782e-14,2.12757009816727e-11
"Zotu129","Zotu1065",0.822188449848024,7.7937656328686e-13,2.88365265428841e-10
"Zotu129","Zotu114",-0.845977773184591,3.75255382323303e-14,3.05303781057538e-11
"Zotu129","Zotu11729",0.81719496309162,1.39133149446025e-12,4.38192427208430e-10
"Zotu129","Zotu121",0.804168475900999,5.83044723612147e-12,1.27450714153125e-09
"Zotu129","Zotu1213",0.80645460619648,4.56990001396207e-12,1.06071610924819e-09
"Zotu129","Zotu1249",-0.820945792775528,9.01723140600552e-13,3.21791410961555e-10
"Zotu1291","Zotu1006",0.803262910619616,6.41575681470385e-12,1.36380384637974e-09
"Zotu1291","Zotu1044",0.808898887384188,3.50941498084012e-12,8.73050551211874e-10
"Zotu1291","Zotu1045",0.806293472725887,4.64961402713016e-12,1.07450790141275e-09
"Zotu1291","Zotu10514",0.805472901310534,5.07593966858622e-12,1.14752002047368e-09
"Zotu1291","Zotu1069",0.871568163116977,8.88178419700125e-16,1.89000764872036e-12
"Zotu1291","Zotu113",0.809061457917741,3.44790862527589e-12,8.60596797674075e-10
"Zotu1291","Zotu1151",-0.808734869460287,3.57247564863883e-12,8.84345628111742e-10
"Zotu1291","Zotu1271",0.832091536217013,2.33590924381133e-13,1.19322536234051e-10
"Zotu1295","Zotu1231",0.83140869620888,2.54463117244086e-13,1.27342694939943e-10
"Zotu13","Zotu108",0.810790273556231,2.85327317328665e-12,7.49374250554752e-10
"Zotu130","Zotu101",0.802323056882327,7.0814465402691e-12,1.46730904473661e-09
"Zotu1307","Zotu1",0.84098794212282,7.39408534400354e-14,5.08339364903903e-11
"Zotu1307","Zotu1027",-0.80783651586439,3.93796106834543e-12,9.49779832896965e-10
"Zotu1307","Zotu103",0.808728038527579,3.57514018389793e-12,8.84350968201477e-10
"Zotu1307","Zotu10430",0.830479825517993,2.85771406538515e-13,1.39031591884381e-10
"Zotu1307","Zotu113",-0.83837668517076,1.04360964314765e-13,6.49056879262228e-11
"Zotu1307","Zotu11729",0.807422410051549,4.11803924293963e-12,9.82331475422408e-10
"Zotu1307","Zotu121",0.851541772304062,1.73194791841524e-14,1.71426329516626e-11
"Zotu1307","Zotu1225",-0.827386275537309,4.18109991073834e-13,1.82546029889444e-10
"Zotu1307","Zotu1271",-0.84942053054496,2.30926389122033e-14,2.13833405659521e-11
"Zotu1307","Zotu129",0.863129225028829,3.10862446895044e-15,4.8334022923783e-12
"Zotu1307","Zotu130",0.865142068929375,2.22044604925031e-15,3.77336034093115e-12
"Zotu1308","Zotu1204",0.827941815023882,3.90798504668055e-13,1.73928110735063e-10
"Zotu1317","Zotu1259",0.839648251609875,8.83737527601625e-14,5.75432361111885e-11
"Zotu132","Zotu102",0.808727746417716,3.57536222850285e-12,8.84350968201477e-10
"Zotu132","Zotu10430",-0.801438279536411,7.7671202802776e-12,1.57107163043249e-09
"Zotu132","Zotu125",0.821211463308728,8.74189609589848e-13,3.14102470523961e-10
"Zotu1323","Zotu1",0.805953578016015,4.82192064055198e-12,1.10417589952931e-09
"Zotu1323","Zotu101",0.832446955842124,2.23376872554581e-13,1.15227035361842e-10
"Zotu1323","Zotu10430",0.809405670665213,3.32089911125877e-12,8.36152083761811e-10
"Zotu1323","Zotu1065",0.867046110456919,1.77635683940025e-15,3.19414109336645e-12
"Zotu1323","Zotu114",-0.830351038549216,2.90434343241941e-13,1.40506988027904e-10
"Zotu1323","Zotu121",0.826680430072991,4.55635529306164e-13,1.94394771849696e-10
"Zotu1323","Zotu1213",0.81927160494939,1.0955680807001e-12,3.6975131593649e-10
"Zotu1323","Zotu12783",0.802500101554727,6.95110635717811e-12,1.44801074388334e-09
"Zotu1323","Zotu129",0.850344946201035,2.04281036531029e-14,1.940755098186e-11
"Zotu1323","Zotu130",0.85883153129523,5.77315972805081e-15,7.48991740791279e-12
"Zotu1323","Zotu1307",0.880316248636859,2.22044604925031e-16,6.51845703664504e-13
"Zotu13236","Zotu1",0.907994868860264,0,0
"Zotu13236","Zotu1007",-0.816940037279471,1.4326317909763e-12,4.48507053787709e-10
"Zotu13236","Zotu10300",0.855889748958808,9.10382880192628e-15,1.05112458875125e-11
"Zotu13236","Zotu104",0.804879075101108,5.40723021913436e-12,1.20348825725645e-09
"Zotu13236","Zotu10430",0.893572632163736,0,0
"Zotu13236","Zotu1102",-0.804933403759569,5.37614397444486e-12,1.19782531262622e-09
"Zotu13236","Zotu11141",0.828744667029289,3.539391002505e-13,1.6249858570188e-10
"Zotu13236","Zotu1142",0.813648202726774,2.07789341288844e-12,5.91433953998771e-10
"Zotu13236","Zotu11729",0.932171121875451,0,0
"Zotu13236","Zotu11736",0.834112286271233,1.80966353013901e-13,9.80446772016079e-11
"Zotu13236","Zotu121",0.810692241556445,2.88435941797616e-12,7.55839272491255e-10
"Zotu13236","Zotu12783",0.872695633259014,6.66133814775094e-16,1.56063252935599e-12
"Zotu13236","Zotu129",0.839921059808514,8.5265128291212e-14,5.61248752510348e-11
"Zotu1324","Zotu1",0.830324623549377,2.91322521661641e-13,1.40654686866114e-10
"Zotu1324","Zotu1102",-0.85374012644328,1.24344978758018e-14,1.32300535410425e-11
"Zotu1324","Zotu1110",-0.812501237328801,2.36166641798263e-12,6.50119941048642e-10
