Id,Label,timeset,label3,kingdom,phylum,class,order,family,genus,species,name,abun,indegree,outdegree,degree
Zotu1016,Zotu1016,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu1016,0.001167,10,1,11
Zotu10065,Zotu10065,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu10065,0.002038,23,0,23
Zotu102,Zotu102,,other,Bacteria,Bacteroidota,Kryptonia,Kryptoniales,BSV26,BSV26,uncultured_bacterium,Zotu102,0.000238,95,2,97
Zotu100,Zotu100,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA,Zotu100,0.002307,14,0,14
Zotu1018,Zotu1018,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocystis,uncultured_bacterium,Zotu1018,0.000137,29,0,29
Zotu1025,Zotu1025,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas_roseiflava,Zotu1025,0.00017,16,1,17
Zotu1011,Zotu1011,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,NA,Zotu1011,0.000231,10,0,10
Zotu1036,Zotu1036,,other,Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,Turneriella,uncultured_bacterium,Zotu1036,0.000176,51,3,54
Zotu1,Zotu1,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,uncultured,uncultured_Georgfuchsia,Zotu1,0.095518,27,0,27
Zotu1041,Zotu1041,,other,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacterales,BBMC-4,uncultured_Leptospira,Zotu1041,0.000426,8,1,9
Zotu10430,Zotu10430,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,uncultured,NA,Zotu10430,0.000294,35,2,37
