Id,Label,timeset,label3,kingdom,phylum,class,order,family,genus,species,name,abun,indegree,outdegree,degree
Zotu100,Zotu100,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA,Zotu100,0.000539,7,1,8
Zotu10,Zotu10,,other,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,uncultured_bacterium,Zotu10,0.00496,90,0,90
Zotu10065,Zotu10065,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu10065,0.00015,97,1,98
Zotu1,Zotu1,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,uncultured,uncultured_Georgfuchsia,Zotu1,0.023093,161,0,161
Zotu101,Zotu101,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,uncultured_bacterium,Zotu101,0.000866,131,2,133
Zotu1017,Zotu1017,,other,Bacteria,Desulfobacterota,uncultured,uncultured,uncultured,uncultured,NA,Zotu1017,0.000226,83,1,84
Zotu1000,Zotu1000,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,TRA3-20,NA,Zotu1000,0.000191,13,0,13
Zotu1018,Zotu1018,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocystis,uncultured_bacterium,Zotu1018,0.000172,51,1,52
Zotu102,Zotu102,,other,Bacteria,Bacteroidota,Kryptonia,Kryptoniales,BSV26,BSV26,uncultured_bacterium,Zotu102,0.001762,145,4,149
Zotu1023,Zotu1023,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu1023,0.000532,3,1,4
Zotu1002,Zotu1002,,other,Bacteria,Chloroflexi,JG30-KF-CM66,JG30-KF-CM66,JG30-KF-CM66,JG30-KF-CM66,metagenome,Zotu1002,0.000249,30,0,30
Zotu1024,Zotu1024,,other,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae,NA,Zotu1024,0.000168,105,5,110
Zotu1006,Zotu1006,,other,Bacteria,Proteobacteria,Gammaproteobacteria,CCD24,CCD24,CCD24,NA,Zotu1006,0.000223,69,0,69
Zotu1027,Zotu1027,,other,Bacteria,Sva0485,Sva0485,Sva0485,Sva0485,Sva0485,uncultured_soil,Zotu1027,0.000195,95,5,100
Zotu1029,Zotu1029,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,NA,Zotu1029,0.000165,52,1,53
Zotu103,Zotu103,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,uncultured_bacterium,Zotu103,0.003549,92,2,94
Zotu10300,Zotu10300,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA,Zotu10300,0.000497,142,5,147
Zotu1010,Zotu1010,,other,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Acidaminobacteraceae,Acidaminobacter,uncultured_prokaryote,Zotu1010,0.000223,38,0,38
Zotu1031,Zotu1031,,other,Bacteria,Desulfobacterota,uncultured,uncultured,uncultured,uncultured,Myxococcales_bacterium,Zotu1031,0.000245,121,7,128
Zotu1034,Zotu1034,,other,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,NA,Zotu1034,0.000225,64,4,68
Zotu104,Zotu104,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu104,0.001211,94,6,100
Zotu10430,Zotu10430,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,uncultured,NA,Zotu10430,0.000309,130,5,135
Zotu1044,Zotu1044,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,NA,Zotu1044,0.000238,112,4,116
Zotu1043,Zotu1043,,other,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,uncultured_bacterium,Zotu1043,0.000207,23,0,23
Zotu1049,Zotu1049,,other,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,uncultured_Gemmatimonas,Zotu1049,0.000135,47,4,51
Zotu10514,Zotu10514,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,NA,NA,Zotu10514,0.00036,100,3,103
Zotu106,Zotu106,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu106,0.001185,68,3,71
Zotu1065,Zotu1065,,other,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,NA,NA,Zotu1065,0.000161,26,3,29
Zotu1069,Zotu1069,,other,Bacteria,Desulfobacterota,Desulfuromonadia,PB19,PB19,PB19,metagenome,Zotu1069,0.000169,73,4,77
Zotu1059,Zotu1059,,other,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae,uncultured_bacterium,Zotu1059,0.000124,37,0,37
Zotu10706,Zotu10706,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylobacillus,uncultured_bacterium,Zotu10706,0.000409,100,6,106
Zotu1074,Zotu1074,,other,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,uncultured_bacterium,Zotu1074,0.000141,94,6,100
Zotu1045,Zotu1045,,other,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,BIrii41,NA,Zotu1045,0.000187,20,0,20
Zotu1077,Zotu1077,,other,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,Subgroup_7,Subgroup_7,uncultured_soil,Zotu1077,0.000151,55,2,57
Zotu108,Zotu108,,other,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Geothrix,metagenome,Zotu108,0.000954,110,6,116
Zotu1097,Zotu1097,,other,Bacteria,Bacteroidota,Kryptonia,Kryptoniales,BSV26,BSV26,denitrifying_bacterium,Zotu1097,0.000162,23,5,28
Zotu1102,Zotu1102,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,NA,Zotu1102,0.000196,37,5,42
Zotu1103,Zotu1103,,other,Bacteria,Sva0485,Sva0485,Sva0485,Sva0485,Sva0485,NA,Zotu1103,0.000187,163,10,173
Zotu1110,Zotu1110,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,NA,Zotu1110,0.000212,58,5,63
Zotu1111,Zotu1111,,other,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,uncultured_bacterium,Zotu1111,0.000133,96,9,105
Zotu1007,Zotu1007,,other,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,uncultured_bacterium,Zotu1007,0.000179,15,0,15
Zotu11141,Zotu11141,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu11141,0.000153,92,6,98
Zotu1119,Zotu1119,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,NA,Zotu1119,0.000231,42,5,47
Zotu112,Zotu112,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Candidatus_Methylospira,uncultured_bacterium,Zotu112,0.003191,14,3,17
Zotu1085,Zotu1085,,other,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,uncultured,uncultured_bacterium,Zotu1085,0.000196,9,0,9
Zotu1129,Zotu1129,,other,Bacteria,Chloroflexi,Anaerolineae,SJA-15,SJA-15,SJA-15,uncultured_bacterium,Zotu1129,0.000118,74,7,81
Zotu113,Zotu113,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,NA,Zotu113,0.001567,107,9,116
Zotu114,Zotu114,,other,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,NA,Zotu114,0.002589,85,7,92
Zotu1140,Zotu1140,,other,Bacteria,Actinobacteriota,Actinobacteria,PeM15,PeM15,PeM15,NA,Zotu1140,0.000133,8,2,10
Zotu1151,Zotu1151,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomonas,Methylomonas_sp.,Zotu1151,0.000159,180,14,194
Zotu1128,Zotu1128,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,Beggiatoa,uncultured_bacterium,Zotu1128,0.000182,6,0,6
Zotu1158,Zotu1158,,other,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,NA,Zotu1158,0.000167,108,12,120
Zotu1159,Zotu1159,,other,Bacteria,Actinobacteriota,WCHB1-81,WCHB1-81,WCHB1-81,WCHB1-81,uncultured_bacterium,Zotu1159,0.000167,78,8,86
Zotu116,Zotu116,,other,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_13,NA,Zotu116,0.000172,61,9,70
