Id,Label,timeset,label3,kingdom,phylum,class,order,family,genus,species,name,abun,indegree,outdegree,degree
Zotu1006,Zotu1006,,other,Bacteria,Proteobacteria,Gammaproteobacteria,CCD24,CCD24,CCD24,NA,Zotu1006,0.000206,208,2,210
Zotu1,Zotu1,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,uncultured,uncultured_Georgfuchsia,Zotu1,0.024611,158,0,158
Zotu100,Zotu100,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA,Zotu100,0.000519,29,0,29
Zotu1007,Zotu1007,,other,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,uncultured_bacterium,Zotu1007,0.000177,168,2,170
Zotu101,Zotu101,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,uncultured_bacterium,Zotu101,0.000941,2,1,3
Zotu10,Zotu10,,other,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,uncultured_bacterium,Zotu10,0.004786,18,0,18
Zotu1017,Zotu1017,,other,Bacteria,Desulfobacterota,uncultured,uncultured,uncultured,uncultured,NA,Zotu1017,0.000175,80,2,82
Zotu1018,Zotu1018,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocystis,uncultured_bacterium,Zotu1018,0.000212,63,1,64
Zotu102,Zotu102,,other,Bacteria,Bacteroidota,Kryptonia,Kryptoniales,BSV26,BSV26,uncultured_bacterium,Zotu102,0.001714,194,4,198
Zotu1024,Zotu1024,,other,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae,NA,Zotu1024,0.000156,135,4,139
Zotu1005,Zotu1005,,other,Bacteria,Planctomycetota,Phycisphaerae,MSBL9,MSBL9,MSBL9,NA,Zotu1005,0.000158,10,0,10
Zotu1027,Zotu1027,,other,Bacteria,Sva0485,Sva0485,Sva0485,Sva0485,Sva0485,uncultured_soil,Zotu1027,0.000166,140,3,143
Zotu103,Zotu103,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,uncultured_bacterium,Zotu103,0.003661,90,2,92
Zotu104,Zotu104,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu104,0.001088,4,1,5
Zotu1043,Zotu1043,,other,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,uncultured_bacterium,Zotu1043,0.000212,41,1,42
Zotu10430,Zotu10430,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,uncultured,NA,Zotu10430,0.000276,112,6,118
Zotu10300,Zotu10300,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA,Zotu10300,0.00033,43,0,43
Zotu1044,Zotu1044,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,NA,Zotu1044,0.000163,37,1,38
Zotu1048,Zotu1048,,other,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,MBNT15,NA,Zotu1048,0.00014,11,1,12
Zotu105,Zotu105,,other,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,NA,Zotu105,0.000824,166,7,173
Zotu1042,Zotu1042,,other,Bacteria,Acidobacteriota,Acidobacteriae,GOUTB8,GOUTB8,GOUTB8,uncultured_bacterium,Zotu1042,0.000155,60,0,60
Zotu10514,Zotu10514,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,NA,NA,Zotu10514,0.000281,151,7,158
Zotu1059,Zotu1059,,other,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae,uncultured_bacterium,Zotu1059,0.000151,22,1,23
Zotu1062,Zotu1062,,other,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta,NA,Zotu1062,0.000207,66,4,70
Zotu10063,Zotu10063,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu10063,0.000104,27,0,27
Zotu1065,Zotu1065,,other,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,NA,NA,Zotu1065,0.000187,15,1,16
Zotu1069,Zotu1069,,other,Bacteria,Desulfobacterota,Desulfuromonadia,PB19,PB19,PB19,metagenome,Zotu1069,0.000141,164,7,171
Zotu1031,Zotu1031,,other,Bacteria,Desulfobacterota,uncultured,uncultured,uncultured,uncultured,Myxococcales_bacterium,Zotu1031,0.000152,44,0,44
Zotu1074,Zotu1074,,other,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,uncultured_bacterium,Zotu1074,0.000143,21,2,23
Zotu1087,Zotu1087,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,uncultured,uncultured_bacterium,Zotu1087,0.000132,1,1,2
Zotu1015,Zotu1015,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_vadinHA17,Bacteroidetes_vadinHA17,NA,Zotu1015,0.000289,3,0,3
Zotu109,Zotu109,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,uncultured,NA,Zotu109,0.003443,10,1,11
Zotu107,Zotu107,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu107,0.001889,15,0,15
Zotu1094,Zotu1094,,other,Bacteria,Nitrospirota,Thermodesulfovibrionia,uncultured,uncultured,uncultured,uncultured_bacterium,Zotu1094,0.000279,13,1,14
Zotu1076,Zotu1076,,other,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Geothrix,uncultured_bacterium,Zotu1076,0.000221,12,0,12
Zotu1102,Zotu1102,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,NA,Zotu1102,0.000195,62,7,69
Zotu1056,Zotu1056,,other,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,uncultured,metagenome,Zotu1056,0.000103,28,0,28
Zotu1103,Zotu1103,,other,Bacteria,Sva0485,Sva0485,Sva0485,Sva0485,Sva0485,NA,Zotu1103,0.000181,108,7,115
Zotu1107,Zotu1107,,other,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,Syntrophobacter,uncultured_delta,Zotu1107,0.000161,3,1,4
Zotu1110,Zotu1110,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,NA,Zotu1110,0.00016,55,7,62
Zotu1111,Zotu1111,,other,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,uncultured_bacterium,Zotu1111,0.000146,107,6,113
Zotu11141,Zotu11141,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu11141,0.000177,83,7,90
Zotu1116,Zotu1116,,other,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,TPD-58,uncultured_bacterium,Zotu1116,0.000119,6,1,7
Zotu1022,Zotu1022,,other,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,TPD-58,uncultured_bacterium,Zotu1022,0.000109,11,0,11
Zotu1119,Zotu1119,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,NA,Zotu1119,0.000189,91,8,99
Zotu113,Zotu113,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,NA,Zotu113,0.00151,180,13,193
Zotu1132,Zotu1132,,other,Bacteria,Chloroflexi,Anaerolineae,SJA-15,SJA-15,SJA-15,uncultured_bacterium,Zotu1132,0.000124,42,3,45
Zotu1133,Zotu1133,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomicrobium,uncultured_bacterium,Zotu1133,0.000193,9,3,12
Zotu1067,Zotu1067,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomonas,uncultured_bacterium,Zotu1067,0.000136,3,0,3
Zotu114,Zotu114,,other,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,NA,Zotu114,0.001418,50,3,53
