"Source","Target","r","p","adjust.p"
"Zotu10","Zotu1",0.841056054042291,2.64959350237959e-07,3.22542791145526e-05
"Zotu101","Zotu1",0.830434782608696,5.12234558769364e-07,4.80283817960756e-05
"Zotu101","Zotu1002",-0.82440293996275,7.30291514372539e-07,5.97766830923968e-05
"Zotu1017","Zotu1002",0.808325742867052,1.76724415901219e-06,0.000102455350478716
"Zotu102","Zotu1",-0.837391304347826,3.34384448574809e-07,3.69491424352156e-05
"Zotu1024","Zotu102",0.823478260869565,7.7018883670732e-07,6.16145168289339e-05
"Zotu1026","Zotu10",0.877627742373862,1.78422157048885e-08,6.56931192565638e-06
"Zotu1027","Zotu1",-0.865217391304348,4.86151980894078e-08,1.17978530342296e-05
"Zotu1027","Zotu10",-0.858523469494883,8.01991895116316e-08,1.59323631045219e-05
"Zotu1027","Zotu102",0.822608695652174,8.09470267704171e-07,6.33850479957131e-05
"Zotu1027","Zotu1026",-0.833768810116402,4.18551685310575e-07,4.23742321433835e-05
"Zotu1029","Zotu1027",-0.814322405203948,1.28359004003542e-06,8.37946946012765e-05
"Zotu10300","Zotu1",0.906875887412621,1.017764983402e-09,1.1677716121095e-06
"Zotu10300","Zotu10",0.843536624891212,2.25594250613526e-07,2.92302985287112e-05
"Zotu10300","Zotu1002",-0.813499329499413,1.34207607649373e-06,8.61185873138718e-05
"Zotu10300","Zotu101",0.817232685489876,1.09456309349554e-06,7.58828439588915e-05
"Zotu10300","Zotu102",-0.824195264279992,7.39087928192106e-07,6.01519156513441e-05
"Zotu10300","Zotu1029",0.818555896867349,1.01714602407377e-06,7.29789312587287e-05
"Zotu1031","Zotu1009",0.823657336279069,7.62313794311353e-07,6.16145168289339e-05
"Zotu1039","Zotu10",0.80175436927396,2.4778398635128e-06,0.000126254364331393
"Zotu1039","Zotu1002",-0.815471163798474,1.205758646039e-06,8.04833458013571e-05
"Zotu1039","Zotu10300",0.886858473391037,7.87271892122021e-09,4.00491572346936e-06
"Zotu104","Zotu1",0.931304347826087,4.0230485609527e-11,1.82344443945593e-07
"Zotu104","Zotu101",0.849565217391304,1.50819809086045e-07,2.28334193033762e-05
"Zotu104","Zotu102",-0.82,9.38259970162392e-07,6.91524090055899e-05
"Zotu104","Zotu1027",-0.81304347826087,1.37547904821567e-06,8.72167875760993e-05
"Zotu104","Zotu10300",0.876414605205863,1.97708907023753e-08,6.9156610730764e-06
"Zotu10430","Zotu1",0.926646389759991,8.0985440575887e-11,2.73647993972966e-07
"Zotu10430","Zotu10",0.817543859649123,1.07589976772182e-06,7.54002181462161e-05
"Zotu10430","Zotu101",0.813108189318145,1.37069262828859e-06,8.72167875760993e-05
"Zotu10430","Zotu1027",-0.809614706227626,1.65140886299042e-06,9.80082884032757e-05
"Zotu10430","Zotu1029",0.801086371857559,2.5626610820062e-06,0.000129743053070046
"Zotu10430","Zotu10300",0.902103416463969,1.72386327434992e-09,1.59050886735655e-06
"Zotu10430","Zotu1039",0.813108189318145,1.37069262828859e-06,8.72167875760993e-05
"Zotu10430","Zotu104",0.875117514174845,2.2038299851701e-08,7.39695786836033e-06
"Zotu1044","Zotu10",-0.868886430198823,3.65313646000232e-08,1.00381948571334e-05
"Zotu1044","Zotu1002",0.836742167485111,3.48249518999921e-07,3.81824947119235e-05
"Zotu1044","Zotu1006",0.833768810116402,4.18551685310575e-07,4.23742321433835e-05
"Zotu1044","Zotu1017",0.801566883212115,2.50139075141931e-06,0.000127067202076194
"Zotu1044","Zotu1026",-0.831881533101045,4.6950119925171e-07,4.56228159298923e-05
"Zotu1044","Zotu10300",-0.828397212543554,5.78307618237517e-07,5.18415520966917e-05
"Zotu1044","Zotu1039",-0.814621718443583,1.26289133284274e-06,8.27538920403037e-05
"Zotu1044","Zotu10430",-0.825179869323631,6.98205830929055e-07,5.81311448900856e-05
"Zotu1045","Zotu1006",0.843478260869565,2.26456730700875e-07,2.92302985287112e-05
"Zotu1045","Zotu1027",0.814782608695652,1.25188847066582e-06,8.22307289931217e-05
"Zotu1045","Zotu1029",-0.813442056657782,1.34623272174395e-06,8.63322549003804e-05
"Zotu1049","Zotu1",-0.862608695652174,5.92705349244937e-08,1.32046405036584e-05
"Zotu1049","Zotu1002",0.813684808565618,1.32869305935479e-06,8.54479962702082e-05
"Zotu1049","Zotu1017",0.82,9.38259970162392e-07,6.91524090055899e-05
"Zotu1049","Zotu102",0.857391304347826,8.70660499252551e-08,1.65562654608816e-05
"Zotu1049","Zotu1027",0.806086956521739,1.98572094967098e-06,0.000109758474168359
"Zotu1049","Zotu104",-0.800869565217391,2.59074046393692e-06,0.000129749103957504
"Zotu1049","Zotu10430",-0.819221784726552,9.80065140154807e-07,7.10975592666389e-05
"Zotu1049","Zotu1044",0.865970737020689,4.58760751609333e-08,1.13687374645453e-05
"Zotu1049","Zotu1045",0.82,9.38259970162392e-07,6.91524090055899e-05
"Zotu10514","Zotu1",-0.834782608695652,3.93274619980843e-07,4.07840298423902e-05
"Zotu10514","Zotu10",-0.813108189318145,1.37069262828859e-06,8.72167875760993e-05
"Zotu10514","Zotu1002",0.802073499552058,2.43820577394693e-06,0.000125531929982547
"Zotu10514","Zotu1017",0.833913043478261,4.14869192777445e-07,4.21273624566103e-05
"Zotu10514","Zotu102",0.809565217391304,1.65572828292326e-06,9.80082884032757e-05
"Zotu10514","Zotu10300",-0.82767655367505,6.03436500101751e-07,5.30876671766246e-05
"Zotu10514","Zotu1039",-0.812173913043478,1.44125731260658e-06,8.97504471846211e-05
"Zotu10514","Zotu104",-0.812173913043478,1.44125731260658e-06,8.97504471846211e-05
"Zotu10514","Zotu1045",0.856521739130435,9.26929382139008e-08,1.71361948319207e-05
"Zotu10514","Zotu1049",0.856521739130435,9.26929382139008e-08,1.71361948319207e-05
"Zotu1065","Zotu10",0.813816163496081,1.31928734381503e-06,8.50996477469953e-05
"Zotu1065","Zotu1002",-0.80008999989228,2.69397881913491e-06,0.000133217039955979
"Zotu1065","Zotu1006",-0.818973330187405,9.93757285572272e-07,7.1489131506184e-05
"Zotu1065","Zotu1017",-0.855526868835515,9.95285545091207e-08,1.78750566879895e-05
"Zotu1065","Zotu1044",-0.856271777003484,9.43696050192955e-08,1.73499938180068e-05
"Zotu1065","Zotu1045",-0.813751396094818,1.32391759732897e-06,8.51977352716046e-05
"Zotu1065","Zotu1049",-0.807659139653467,1.82994161468386e-06,0.000104494653460711
"Zotu1067","Zotu10",0.880357738810623,1.41057703295644e-08,5.6975489113111e-06
"Zotu1067","Zotu10300",0.838990744208989,3.02303472921039e-07,3.47814997051855e-05
"Zotu1067","Zotu10514",-0.818260869565217,1.03397104966874e-06,7.32107566321419e-05
"Zotu1069","Zotu1007",0.88163653929845,1.26107797537856e-08,5.33805786180611e-06
"Zotu1069","Zotu102",0.818103007838641,1.04307519865898e-06,7.36416850177143e-05
"Zotu1069","Zotu1027",0.804177850258408,2.19067455864419e-06,0.000116949352658889
"Zotu1069","Zotu1043",0.806788817304702,1.91477634925441e-06,0.000107448727931101
"Zotu1069","Zotu1049",0.818973330187405,9.93757285572272e-07,7.1489131506184e-05
"Zotu107","Zotu1014",0.83304347826087,4.37516831874873e-07,4.3475758542625e-05
"Zotu1073","Zotu10",0.806140350877193,1.98024276842901e-06,0.000109758474168359
"Zotu1073","Zotu10300",0.80682311375605,1.9113681934968e-06,0.000107445150312056
"Zotu1074","Zotu1007",0.825217391304348,6.96688593926353e-07,5.80202446249808e-05
"Zotu1074","Zotu1045",0.82,9.38259970162392e-07,6.91524090055899e-05
"Zotu1074","Zotu10514",0.84,2.83504498099774e-07,3.34384254810426e-05
"Zotu108","Zotu10",0.877737626492734,1.76761594250507e-08,6.51774826347807e-06
"Zotu108","Zotu1006",-0.823478260869565,7.7018883670732e-07,6.16145168289339e-05
"Zotu108","Zotu1026",0.812010751397289,1.45390715822202e-06,9.03830347844191e-05
"Zotu108","Zotu1044",-0.833768810116402,4.18551685310575e-07,4.23742321433835e-05
"Zotu108","Zotu1065",0.818973330187405,9.93757285572272e-07,7.1489131506184e-05
"Zotu109","Zotu1034",0.874376249188637,2.34364445628188e-08,7.62520029657094e-06
"Zotu1094","Zotu1027",-0.807659139653467,1.82994161468386e-06,0.000104494653460711
"Zotu1094","Zotu108",0.81984365253617,9.46528872169949e-07,6.95124234996538e-05
"Zotu1094","Zotu1089",0.809051794420402,1.70113727526733e-06,0.000100274583495091
"Zotu11","Zotu1034",-0.806162499251935,1.97797432721636e-06,0.000109758474168359
"Zotu1102","Zotu1",-0.816264424601802,1.1544964184651e-06,7.84746909631102e-05
"Zotu1102","Zotu10",-0.822894177304412,7.96381426138026e-07,6.32134631052764e-05
"Zotu1102","Zotu1002",0.861210462256382,6.58042376144863e-08,1.41762874674339e-05
"Zotu1102","Zotu1044",0.804352728557803,2.17114748002345e-06,0.000116168642897878
"Zotu1102","Zotu10514",0.828440985011418,5.76811844066327e-07,5.17630172181075e-05
"Zotu1102","Zotu1067",-0.834529265216227,3.99459953337455e-07,4.12343507673635e-05
"Zotu1103","Zotu102",0.835652173913043,3.7268986696759e-07,3.95093513357567e-05
"Zotu1103","Zotu1027",0.814782608695652,1.25188847066582e-06,8.22307289931217e-05
"Zotu1103","Zotu10514",0.818260869565217,1.03397104966874e-06,7.32107566321419e-05
"Zotu1103","Zotu1069",0.826806231326286,6.35080201760729e-07,5.47829582537489e-05
"Zotu1110","Zotu1",-0.803501110819219,2.26772040989864e-06,0.000119517972545062
"Zotu1110","Zotu10",-0.83859649122807,3.09944522935979e-07,3.55301345035305e-05
"Zotu1110","Zotu1002",0.854026356280621,1.10694203581119e-07,1.91357135183593e-05
"Zotu1110","Zotu101",-0.849789761768587,1.48525122423138e-07,2.28084636707716e-05
"Zotu1110","Zotu1017",0.813108189318145,1.37069262828859e-06,8.72167875760993e-05
"Zotu1110","Zotu1027",0.820095155499181,9.33258973434548e-07,6.91524090055899e-05
"Zotu1110","Zotu10430",-0.826315789473684,6.53556928131849e-07,5.61404903028103e-05
"Zotu1110","Zotu1044",0.921334303249054,1.70404135246827e-10,4.04370303881138e-07
"Zotu1110","Zotu1049",0.831448975543366,4.81931144991066e-07,4.647314131353e-05
"Zotu1110","Zotu1065",-0.915215384726527,3.77318176703056e-10,6.44087268206732e-07
"Zotu1110","Zotu1069",0.811193769843569,1.51874663112395e-06,9.30109269257288e-05
"Zotu1111","Zotu10514",0.817134178916775,1.10053106472385e-06,7.62333147105054e-05
"Zotu1111","Zotu1069",0.816975146917206,1.11022715820752e-06,7.67932325396416e-05
"Zotu1114","Zotu1045",0.817747107621703,1.06386319620455e-06,7.49109398650163e-05
"Zotu11141","Zotu1",0.924282334387911,1.13521636535552e-10,3.21076089060827e-07
"Zotu11141","Zotu102",-0.833768810116402,4.18551685310575e-07,4.23742321433835e-05
"Zotu11141","Zotu1027",-0.817232685489876,1.09456309349554e-06,7.58828439588915e-05
"Zotu11141","Zotu10300",0.881533101045296,1.2726181441991e-08,5.36465364675084e-06
"Zotu11141","Zotu104",0.855526868835515,9.95285545091207e-08,1.78750566879895e-05
"Zotu11141","Zotu10430",0.867138167763815,4.19041410459897e-08,1.08699146535313e-05
"Zotu1117","Zotu1",0.919130434782609,2.28525864898188e-10,4.68626882769975e-07
"Zotu1117","Zotu10",0.819221784726552,9.80065140154807e-07,7.10975592666389e-05
"Zotu1117","Zotu1002",-0.814577986182046,1.2658969206214e-06,8.29161490354301e-05
"Zotu1117","Zotu1027",-0.875652173913044,2.10768342778778e-08,7.16056869707115e-06
"Zotu1117","Zotu1029",0.843373907227441,2.28006180824636e-07,2.9390935005336e-05
"Zotu1117","Zotu10300",0.856397191184279,9.35250006328658e-08,1.72199797932326e-05
"Zotu1117","Zotu104",0.861739130434783,6.32616223850135e-08,1.3744325168035e-05
"Zotu1117","Zotu10430",0.912672457397917,5.15974818426912e-10,7.80784561350679e-07
"Zotu1117","Zotu1044",-0.81984365253617,9.46528872169949e-07,6.95124234996538e-05
"Zotu1117","Zotu1045",-0.846086956521739,1.90657453158494e-07,2.632039165051e-05
"Zotu1117","Zotu1049",-0.841739130434783,2.5354935839772e-07,3.11699530519728e-05
"Zotu1117","Zotu10514",-0.83304347826087,4.37516831874873e-07,4.3475758542625e-05
"Zotu1117","Zotu1065",0.813751396094818,1.32391759732897e-06,8.51977352716046e-05
"Zotu1117","Zotu1110",-0.812234818545515,1.43656052165042e-06,8.97504471846211e-05
"Zotu1117","Zotu11141",0.828546876023815,5.73207654008812e-07,5.15540437639102e-05
"Zotu1119","Zotu1",-0.862608695652174,5.92705349244937e-08,1.32046405036584e-05
"Zotu1119","Zotu1049",0.861739130434783,6.32616223850135e-08,1.3744325168035e-05
"Zotu1121","Zotu1",0.891304347826087,5.17494580520861e-09,3.08758952225929e-06
"Zotu1121","Zotu102",-0.807826086956522,1.81405634469556e-06,0.000103847867180226
"Zotu1121","Zotu10300",0.805918494955938,2.00309335718352e-06,0.000110416709885454
"Zotu1121","Zotu10430",0.8235886385897,7.65326319429604e-07,6.16145168289339e-05
"Zotu1121","Zotu1049",-0.88695652173913,7.80167885849892e-09,3.98008873061828e-06
"Zotu1121","Zotu1117",0.826086956521739,6.62340857049415e-07,5.61677598753537e-05
"Zotu1121","Zotu1119",-0.852173913043478,1.26018503410208e-07,2.05305016665218e-05
"Zotu1128","Zotu10514",-0.806086956521739,1.98572094967098e-06,0.000109758474168359
"Zotu1128","Zotu1069",-0.835509454813931,3.76000881097127e-07,3.97359608610732e-05
"Zotu1128","Zotu1103",-0.808695652173913,1.73328367281123e-06,0.000101000572564481
"Zotu1129","Zotu10",-0.80262774004659,2.37071049502546e-06,0.000122765019316161
"Zotu1129","Zotu1017",0.818260869565217,1.03397104966874e-06,7.32107566321419e-05
"Zotu1129","Zotu1026",-0.872933315810805,2.63885344686798e-08,8.15174099740224e-06
"Zotu1129","Zotu108",-0.827826086956522,5.9814368347233e-07,5.27628084989643e-05
"Zotu113","Zotu1",-0.86695652173913,4.25011348337279e-08,1.08699146535313e-05
"Zotu113","Zotu10",-0.830575604770736,5.07927671922204e-07,4.80283817960756e-05
"Zotu113","Zotu1002",0.877100419331984,1.86587651995751e-08,6.69294661874527e-06
"Zotu113","Zotu1007",0.812173913043478,1.44125731260658e-06,8.97504471846211e-05
"Zotu113","Zotu1017",0.809565217391304,1.65572828292326e-06,9.80082884032757e-05
"Zotu113","Zotu102",0.823478260869565,7.7018883670732e-07,6.16145168289339e-05
"Zotu113","Zotu1026",-0.818973330187405,9.93757285572272e-07,7.1489131506184e-05
"Zotu113","Zotu1027",0.84,2.83504498099774e-07,3.34384254810426e-05
