"Source","Target","r","p","adjust.p"
"Zotu1016","Zotu10065",0.80695652173913,1.89816226936479e-06,0.000126194426988064
"Zotu102","Zotu100",0.89904298627374,2.38341302249978e-09,1.94117102612787e-06
"Zotu102","Zotu1018",0.855712913606407,9.82169541252631e-08,1.96898093947056e-05
"Zotu1025","Zotu1011",0.849957670814999,1.46829684410932e-07,2.55588256526422e-05
"Zotu1036","Zotu1",-0.82271526781707,8.045618442587e-07,7.31445483936211e-05
"Zotu1036","Zotu102",0.819935082018608,9.41685499356026e-07,8.08253493253684e-05
"Zotu1036","Zotu1025",0.842467520086706,2.4186836689033e-07,3.49278581814073e-05
"Zotu1041","Zotu1016",0.878155249903392,1.70576366365083e-08,6.7893653151821e-06
"Zotu10430","Zotu10065",0.829631598560343,5.3742832317738e-07,5.6993217185286e-05
"Zotu10430","Zotu10300",0.910003929222897,7.0941919005918e-10,8.76274060004501e-07
"Zotu1052","Zotu1026",0.859620479293655,7.4012664441625e-08,1.65166168550167e-05
"Zotu1063","Zotu1052",0.819251922579975,9.78415756414108e-07,8.30172685640362e-05
"Zotu1064","Zotu1",-0.821723407113467,8.51288049608101e-07,7.57668998770981e-05
"Zotu1064","Zotu1036",0.912336979345999,5.37343503026477e-10,7.25281559917661e-07
"Zotu1092","Zotu1064",0.817445397687692,1.0817743185676e-06,8.80476245076689e-05
"Zotu11141","Zotu10300",0.86050072746687,6.93616466485025e-08,1.59318287548832e-05
"Zotu11141","Zotu10430",0.890101067082093,5.80748005241105e-09,3.46522293273444e-06
"Zotu113","Zotu102",0.82767655367505,6.03436500101751e-07,6.14149378557494e-05
"Zotu114","Zotu1025",0.83864453808244,3.09004177800887e-07,4.07985348005902e-05
"Zotu114","Zotu1036",0.811059313095564,1.52966099564722e-06,0.000109816323965237
"Zotu114","Zotu1064",0.819908105074097,9.43112268947388e-07,8.09270591630812e-05
"Zotu114","Zotu109",0.832615236851188,4.49070919117389e-07,5.09737369937049e-05
"Zotu114","Zotu1114",0.813071798001382,1.37338252059749e-06,0.000102704992442709
"Zotu1142","Zotu102",-0.812067901061073,1.44946516522637e-06,0.000106331913202435
"Zotu1142","Zotu105",-0.804844867317251,2.11702316432749e-06,0.000135020123324851
"Zotu1147","Zotu1114",0.80930433047283,1.67866538136607e-06,0.000116968103891153
"Zotu1167","Zotu102",0.823324941931228,7.76988785311516e-07,7.13250673150954e-05
"Zotu1167","Zotu1036",0.813981560090774,1.30752844951232e-06,9.93908456392904e-05
"Zotu1167","Zotu1064",0.84762555798987,1.72002128762117e-07,2.85452754485385e-05
"Zotu1167","Zotu109",0.82,9.38259970162392e-07,8.05933292666638e-05
"Zotu1167","Zotu1114",0.835753347267416,3.70358498980039e-07,4.54476624331017e-05
"Zotu1167","Zotu114",0.814959333391174,1.23990123301887e-06,9.63200972010915e-05
"Zotu11729","Zotu10300",0.930637117020701,4.46029879697107e-11,1.40852448962198e-07
"Zotu11729","Zotu10430",0.930285432209208,4.70761207793657e-11,1.46422804547797e-07
"Zotu11729","Zotu11141",0.919930722644089,2.05623962301615e-10,4.03374742650188e-07
"Zotu11729","Zotu1142",0.834069087861255,4.10917765591989e-07,4.83480498898056e-05
"Zotu11736","Zotu1",0.859396840267513,7.52379760715627e-08,1.67454021756774e-05
"Zotu11736","Zotu1036",-0.856140350877193,9.52620229366374e-08,1.93026115591931e-05
"Zotu11736","Zotu105",-0.825967094562318,6.66983762220852e-07,6.47197419941145e-05
"Zotu11736","Zotu1064",-0.875556432489376,2.12461839232958e-08,7.68666179431877e-06
"Zotu11736","Zotu11141",0.859270986806281,7.59354887858166e-08,1.68446451826875e-05
"Zotu11736","Zotu1142",0.863157894736842,5.68676670198442e-08,1.41734582739163e-05
"Zotu11736","Zotu11729",0.837562570951773,3.30809572179902e-07,4.23460288267412e-05
"Zotu118","Zotu102",0.807659139653467,1.82994161468386e-06,0.000123399038307345
"Zotu118","Zotu1035",0.842608695652174,2.39660880696491e-07,3.48344956767098e-05
"Zotu1182","Zotu102",0.86180649488336,6.29440441990425e-08,1.5057519264602e-05
"Zotu1182","Zotu1036",0.844733194748797,2.08547167757089e-07,3.21699863538435e-05
"Zotu1182","Zotu105",0.812029544155177,1.45244514349052e-06,0.000106378017100783
"Zotu1182","Zotu1064",0.815201812042478,1.22362034393753e-06,9.53815575795123e-05
"Zotu1182","Zotu1142",-0.812848229279995,1.39001119636717e-06,0.000103397990635722
"Zotu1182","Zotu1167",0.867579929185186,4.0483528529478e-08,1.15331198778119e-05
"Zotu1182","Zotu11736",-0.84604353579546,1.91209216016119e-07,3.04931785421724e-05
"Zotu1182","Zotu118",0.872363577917536,2.7643193956095e-08,9.11650748932936e-06
"Zotu11993","Zotu10300",0.878207916485428,1.69810312478091e-08,6.77498619649629e-06
"Zotu11993","Zotu10430",0.886033519209841,8.49386072587777e-09,4.42181406768211e-06
"Zotu11993","Zotu11141",0.887486587407662,7.42750883020449e-09,4.06254391881343e-06
"Zotu11993","Zotu1142",0.842986073353246,2.33848214570287e-07,3.43707485983587e-05
"Zotu11993","Zotu11729",0.935855642910537,1.93374205537111e-11,7.52673118456827e-08
"Zotu11993","Zotu11736",0.818963154164423,9.9432169586855e-07,8.36487183094603e-05
"Zotu12","Zotu101",0.829565217391304,5.39559194656647e-07,5.6993217185286e-05
"Zotu1207","Zotu1026",0.822628328476186,8.0856403172902e-07,7.33120313693254e-05
"Zotu1207","Zotu1052",0.870662451901843,3.17143480366155e-08,1.00056825140704e-05
"Zotu1208","Zotu1064",0.802032592727055,2.44325445208915e-06,0.000148917070655111
"Zotu121","Zotu117",0.917391304347826,2.86414891803588e-10,4.92893264816006e-07
"Zotu12105","Zotu10300",0.888411229637566,6.8132499642104e-09,3.87208909977899e-06
"Zotu12105","Zotu10430",0.836763491241263,3.4778602353569e-07,4.3765994636208e-05
"Zotu123","Zotu1052",0.880563535736194,1.38549212103101e-08,5.9549920256645e-06
"Zotu123","Zotu1207",0.82083022949704,8.95420336322061e-07,7.84639026073588e-05
"Zotu12411","Zotu10430",0.878502850517342,1.65577223043556e-08,6.70195333305645e-06
"Zotu12411","Zotu105",-0.868161703914963,3.86786189743304e-08,1.12879182535731e-05
"Zotu12411","Zotu1142",0.821257587841619,8.7405614301872e-07,7.74432713758452e-05
"Zotu12411","Zotu11729",0.87747687418576,1.80724892828721e-08,7.0106239212681e-06
"Zotu12411","Zotu1182",-0.82716081849435,6.22013459850024e-07,6.28079179581797e-05
"Zotu12411","Zotu1221",-0.818834392566557,1.00148814707879e-06,8.4019333550127e-05
"Zotu12783","Zotu1",0.81350955594126,1.3413350843372e-06,0.000100989015923516
"Zotu12783","Zotu1036",-0.812693411733799,1.40163112183345e-06,0.000103976524246503
"Zotu12783","Zotu10430",0.808515283842795,1.7497695856683e-06,0.00012009762586365
"Zotu12783","Zotu1064",-0.815459477649941,1.20652874890936e-06,9.43406276293323e-05
