"Source","Target","r","p","adjust.p"
"Zotu100","Zotu10",0.853913043478261,1.11581265116456e-07,2.53021029930162e-05
"Zotu10065","Zotu1",0.855526868835515,9.95285545091207e-08,2.37853917235447e-05
"Zotu101","Zotu1",0.828695652173913,5.68177755289057e-07,6.10992194526096e-05
"Zotu101","Zotu10",0.881739130434783,1.24972530102241e-08,7.75061798694332e-06
"Zotu1017","Zotu1000",0.814782608695652,1.25188847066582e-06,9.41515033797841e-05
"Zotu1018","Zotu1",-0.818103007838641,1.04307519865898e-06,8.51159309477614e-05
"Zotu102","Zotu1",-0.869565217391304,3.46178732346658e-08,1.35073588972288e-05
"Zotu102","Zotu10065",-0.836379777162695,3.56211336427492e-07,4.74218735626034e-05
"Zotu102","Zotu1017",0.866086956521739,4.54660651350025e-08,1.57087119580382e-05
"Zotu102","Zotu1018",0.807659139653467,1.82994161468386e-06,0.00011652557520926
"Zotu1023","Zotu1002",-0.841739130434783,2.5354935839772e-07,3.92397100023154e-05
"Zotu1024","Zotu1",-0.800173969774808,2.68268558878404e-06,0.000145559542717086
"Zotu1024","Zotu1000",0.80582737282213,2.01254647125282e-06,0.00012292201079337
"Zotu1024","Zotu1006",0.814959793129343,1.23987018296745e-06,9.41515033797841e-05
"Zotu1024","Zotu1017",0.892802804319392,4.47421055760344e-09,4.48341277657279e-06
"Zotu1024","Zotu102",0.883235506854693,1.09425222216686e-08,7.23427661015521e-06
"Zotu1027","Zotu10",-0.834069087861255,4.10917765591989e-07,5.14314294951821e-05
"Zotu1027","Zotu101",-0.804374481591849,2.16872937652823e-06,0.000128195654388981
"Zotu1027","Zotu1017",0.820095155499181,9.33258973434548e-07,8.00831792238481e-05
"Zotu1027","Zotu102",0.848916390995958,1.5762976257605e-07,3.07022818801315e-05
"Zotu1027","Zotu1024",0.904135322197523,1.38205047406359e-09,2.36813313181857e-06
"Zotu1029","Zotu1",0.85435150769709,1.08183733305012e-07,2.49974720537653e-05
"Zotu103","Zotu10",0.915652173913043,3.57219143154452e-10,1.11148736392508e-06
"Zotu103","Zotu101",0.923478260869565,1.27024613050253e-10,5.92014695293886e-07
"Zotu10300","Zotu1",0.80695652173913,1.89816226936479e-06,0.000118621387036246
"Zotu10300","Zotu1002",-0.851304347826087,1.33846127736703e-07,2.7740737472348e-05
"Zotu10300","Zotu101",0.857391304347826,8.70660499252551e-08,2.22697143971359e-05
"Zotu10300","Zotu1010",-0.814481770671226,1.27253197024224e-06,9.51551918716375e-05
"Zotu10300","Zotu103",0.883478260869565,1.07073923061307e-08,7.13336375213203e-06
"Zotu1031","Zotu1",-0.825065586628757,7.02845140754249e-07,6.84683567304821e-05
"Zotu1031","Zotu1006",0.809399784350996,1.67024049901876e-06,0.000110754226921917
"Zotu1031","Zotu10065",-0.804006968641115,2.20990612520566e-06,0.000130058853509901
"Zotu1031","Zotu102",0.884247506344744,9.99199367690551e-09,6.89150572458653e-06
"Zotu1031","Zotu1024",0.876605192270246,1.94560110244879e-08,9.90288674294995e-06
"Zotu1031","Zotu1027",0.883746660896388,1.04527160260659e-08,7.13336375213203e-06
"Zotu1031","Zotu10300",-0.812881073746054,1.38755709633287e-06,9.98042381719566e-05
"Zotu1034","Zotu10",-0.884121070608166,1.01065444901849e-08,6.94133020146781e-06
"Zotu1034","Zotu101",-0.803504820682972,2.26729156072025e-06,0.000131643335193725
"Zotu1034","Zotu1010",0.872402082417375,2.75567435537027e-08,1.20533020222467e-05
"Zotu1034","Zotu103",-0.871275624191514,3.01887603804118e-08,1.25480756846775e-05
"Zotu104","Zotu1",0.828695652173913,5.68177755289057e-07,6.10992194526096e-05
"Zotu104","Zotu10065",0.872933315810805,2.63885344686798e-08,1.16681427532308e-05
"Zotu104","Zotu101",0.832173913043478,4.61262360973436e-07,5.46073404459585e-05
"Zotu104","Zotu102",-0.807826086956522,1.81405634469556e-06,0.000115769816071269
"Zotu104","Zotu103",0.807826086956522,1.81405634469556e-06,0.000115769816071269
"Zotu104","Zotu10300",0.860869565217391,6.74919720111689e-08,1.93813443527238e-05
"Zotu10430","Zotu1",0.85888238603546,7.81259394955214e-08,2.09364519159752e-05
"Zotu10430","Zotu10065",0.888792354824152,6.57364918055237e-09,5.5293472290368e-06
"Zotu10430","Zotu10300",0.831050247956336,4.93648370625266e-07,5.67254608696051e-05
"Zotu10430","Zotu1031",-0.833514867526078,4.25106233326034e-07,5.22966137074999e-05
"Zotu10430","Zotu104",0.889758664216988,5.99975424897536e-09,5.28668789725626e-06
"Zotu1044","Zotu1",-0.827826086956522,5.9814368347233e-07,6.26485295051833e-05
"Zotu1044","Zotu1018",0.808529462002231,1.74846864631206e-06,0.000113596321505279
"Zotu1044","Zotu1024",0.825831722066501,6.72262378653699e-07,6.68143398997918e-05
"Zotu1044","Zotu1043",0.813913043478261,1.31238827183466e-06,9.65858506887765e-05
"Zotu1049","Zotu1",-0.875842595177426,2.07436108290437e-08,1.03101208526919e-05
"Zotu1049","Zotu102",0.809741267239507,1.64040812800081e-06,0.000110065130518035
"Zotu1049","Zotu1031",0.810881565640252,1.54419660702843e-06,0.000106176046547471
"Zotu1049","Zotu10430",-0.815137016093954,1.22795221990657e-06,9.36372772365265e-05
"Zotu10514","Zotu1018",0.843342355952812,2.28476519481546e-07,3.70613819622519e-05
"Zotu10514","Zotu1024",0.814959793129343,1.23987018296745e-06,9.41515033797841e-05
"Zotu10514","Zotu1044",0.912173913043478,5.48015410828384e-10,1.43248874147725e-06
"Zotu106","Zotu1",0.818260869565217,1.03397104966874e-06,8.457466200206e-05
"Zotu106","Zotu1017",-0.833913043478261,4.14869192777445e-07,5.14314294951821e-05
"Zotu106","Zotu10300",0.851304347826087,1.33846127736703e-07,2.7740737472348e-05
"Zotu1065","Zotu10",0.821048073334151,8.84472561857308e-07,7.79148404137132e-05
"Zotu1065","Zotu101",0.824961967751528,7.07075305861338e-07,6.87581296807261e-05
"Zotu1065","Zotu103",0.830180493641364,5.20094372458146e-07,5.8208902641124e-05
"Zotu1069","Zotu1006",0.878433457299186,1.66564579906492e-08,9.11142904813644e-06
"Zotu1069","Zotu1031",0.806804004949472,1.9132664343946e-06,0.000119386650243786
"Zotu1069","Zotu10514",0.85185387352178,1.28850415226367e-07,2.72649071823508e-05
"Zotu1069","Zotu1059",0.8245821044491,7.2277790996722e-07,6.99497269891118e-05
"Zotu10706","Zotu102",-0.819130434782609,9.85079691151469e-07,8.22713559230032e-05
"Zotu10706","Zotu10300",0.897391304347826,2.82674417206863e-09,3.49828915363822e-06
"Zotu10706","Zotu1031",-0.842472033604047,2.41797510902586e-07,3.82478683161519e-05
"Zotu10706","Zotu104",0.831304347826087,4.86152229139947e-07,5.61367692842455e-05
"Zotu10706","Zotu10430",0.844531439838412,2.11338100131186e-07,3.58502357932414e-05
"Zotu10706","Zotu106",0.804347826086957,2.17169277783036e-06,0.000128195654388981
"Zotu1074","Zotu1",-0.800869565217391,2.59074046393692e-06,0.000141860979484351
"Zotu1074","Zotu101",-0.802608695652174,2.3730018550161e-06,0.000135232089895555
"Zotu1074","Zotu1018",0.823324941931228,7.76988785311516e-07,7.24716360033176e-05
"Zotu1074","Zotu1044",0.818260869565217,1.03397104966874e-06,8.457466200206e-05
"Zotu1074","Zotu1045",0.801478601247267,2.51254897798425e-06,0.000139851819029288
"Zotu1074","Zotu1069",0.804794938309324,2.1224589832336e-06,0.000126965916023193
"Zotu1077","Zotu1010",0.842083896304516,2.47959014210153e-07,3.89972163118382e-05
"Zotu1077","Zotu1018",0.800696560863351,2.61334275508673e-06,0.000142805888630606
"Zotu108","Zotu10",0.85304347826087,1.18603306065168e-07,2.60112430938578e-05
"Zotu108","Zotu101",0.873913043478261,2.43500499763627e-08,1.11075983075849e-05
"Zotu108","Zotu103",0.878260869565217,1.69043210540565e-08,9.11142904813644e-06
"Zotu108","Zotu1034",-0.815021427815143,1.23571371157816e-06,9.41515033797841e-05
"Zotu108","Zotu104",0.829565217391304,5.39559194656647e-07,5.93741714889283e-05
"Zotu108","Zotu10430",0.811480775869452,1.49568095419994e-06,0.000104554261928051
"Zotu1097","Zotu10",0.825217391304348,6.96688593926353e-07,6.80441224469993e-05
"Zotu1097","Zotu101",0.803478260869565,2.27036338662501e-06,0.000131643335193725
"Zotu1097","Zotu103",0.849565217391304,1.50819809086045e-07,2.9682856111747e-05
"Zotu1097","Zotu1034",-0.806605445680095,1.93309054008495e-06,0.000120297117656444
"Zotu1097","Zotu1065",0.880626243909776,1.37792857124452e-08,8.18546513289635e-06
"Zotu1102","Zotu1018",0.83725009951146,3.37357764834678e-07,4.60080210708071e-05
"Zotu1102","Zotu1029",-0.807909835996632,1.80613383093942e-06,0.000115769816071269
"Zotu1102","Zotu1044",0.832173913043478,4.61262360973436e-07,5.46073404459585e-05
"Zotu1102","Zotu10514",0.842608695652174,2.39660880696491e-07,3.80969666561785e-05
"Zotu1102","Zotu1069",0.80392347654613,2.21935709454613e-06,0.000130383866281578
"Zotu1103","Zotu1",-0.802608695652174,2.3730018550161e-06,0.000135232089895555
"Zotu1103","Zotu1017",0.866086956521739,4.54660651350025e-08,1.57087119580382e-05
"Zotu1103","Zotu1018",0.82767655367505,6.03436500101751e-07,6.30401201701108e-05
"Zotu1103","Zotu102",0.886086956521739,8.4523299470618e-09,6.24738914046855e-06
"Zotu1103","Zotu1024",0.900195715996659,2.1122055215983e-09,3.00830802746358e-06
"Zotu1103","Zotu1027",0.930139872850509,4.8135717634068e-11,3.357996717661e-07
"Zotu1103","Zotu1031",0.851175257091692,1.35044545768181e-07,2.7870222096007e-05
"Zotu1103","Zotu1043",0.809565217391304,1.65572828292326e-06,0.000110065130518035
"Zotu1103","Zotu10706",-0.807826086956522,1.81405634469556e-06,0.000115769816071269
"Zotu1103","Zotu1074",0.801739130434783,2.47974668687867e-06,0.000138582603934152
"Zotu1110","Zotu1006",0.807132004294589,1.88091510167077e-06,0.000118621387036246
"Zotu1110","Zotu1044",0.864970666240269,4.95436400793636e-08,1.65333859566249e-05
"Zotu1110","Zotu10514",0.825396844909014,6.89472817727577e-07,6.80441224469993e-05
"Zotu1110","Zotu1069",0.81150733535107,1.49356231404774e-06,0.000104554261928051
"Zotu1110","Zotu1074",0.836703651003658,3.49088116413654e-07,4.71703753451256e-05
"Zotu1111","Zotu1006",0.838008282476117,3.21665734936971e-07,4.48566020955243e-05
"Zotu1111","Zotu1007",0.836668116572423,3.49863387372196e-07,4.71703753451256e-05
"Zotu1111","Zotu1024",0.841452805567638,2.58277464748602e-07,3.96743165092534e-05
"Zotu1111","Zotu1027",0.830756223584391,5.02450993700165e-07,5.75335542026261e-05
"Zotu1111","Zotu1045",0.877120487168334,1.86270865398797e-08,9.62778635140638e-06
"Zotu1111","Zotu10514",0.821048073334151,8.84472561857308e-07,7.79148404137132e-05
"Zotu1111","Zotu1069",0.819570109628188,9.61152403000654e-07,8.14153323342351e-05
"Zotu1111","Zotu1074",0.831920002271309,4.68409739884379e-07,5.50869570266172e-05
"Zotu1111","Zotu1103",0.831050247956336,4.93648370625266e-07,5.67254608696051e-05
"Zotu11141","Zotu1",0.818973330187405,9.93757285572272e-07,8.27751676559784e-05
"Zotu11141","Zotu10065",0.888501742160279,6.75564737484535e-09,5.59240296635655e-06
"Zotu11141","Zotu10300",0.844212678301576,2.15815753712434e-07,3.60213003081432e-05
"Zotu11141","Zotu104",0.893821052181153,4.04804145759385e-09,4.26308587533342e-06
"Zotu11141","Zotu10430",0.950598679204676,1.17195142479432e-12,3.32506872702254e-08
"Zotu11141","Zotu10706",0.890339762786095,5.67673974494198e-09,5.0929628909923e-06
"Zotu1119","Zotu1006",0.819130434782609,9.85079691151469e-07,8.22713559230032e-05
"Zotu1119","Zotu1007",0.807132004294589,1.88091510167077e-06,0.000118621387036246
"Zotu1119","Zotu1074",0.872173913043478,2.80725933610171e-08,1.20640690324628e-05
"Zotu1119","Zotu1103",0.80695652173913,1.89816226936479e-06,0.000118621387036246
"Zotu1119","Zotu1111",0.848445334255789,1.62744957510341e-07,3.10047119887435e-05
"Zotu112","Zotu1010",-0.860485313393377,6.9440782679564e-08,1.97699189883616e-05
"Zotu112","Zotu1034",-0.819450892096747,9.67588516420648e-07,8.18845145597807e-05
"Zotu112","Zotu1085",-0.802783232719726,2.35207561827266e-06,0.000135232089895555
"Zotu1129","Zotu1",-0.850457142067975,1.41888273796908e-07,2.8689694879622e-05
"Zotu1129","Zotu10065",-0.807751090014221,1.8211771608545e-06,0.000116183634848065
"Zotu1129","Zotu1029",-0.81816987314968,1.03921027827525e-06,8.49905151478801e-05
"Zotu1129","Zotu10300",-0.825652142090992,6.79322303298591e-07,6.73753865836435e-05
"Zotu1129","Zotu10430",-0.810768236660236,1.5535283690582e-06,0.00010672388127418
"Zotu1129","Zotu10706",-0.818122052812266,1.04197306649567e-06,8.51159309477614e-05
"Zotu1129","Zotu11141",-0.853857628631937,1.12017390252461e-07,2.5390484817721e-05
"Zotu113","Zotu10",-0.801739130434783,2.47974668687867e-06,0.000138582603934152
"Zotu113","Zotu101",-0.803478260869565,2.27036338662501e-06,0.000131643335193725
"Zotu113","Zotu1044",0.891304347826087,5.17494580520861e-09,4.84017851687713e-06
"Zotu113","Zotu10514",0.829565217391304,5.39559194656647e-07,5.93741714889283e-05
"Zotu113","Zotu1074",0.878260869565217,1.69043210540565e-08,9.11142904813644e-06
"Zotu113","Zotu108",-0.828695652173913,5.68177755289057e-07,6.10992194526096e-05
"Zotu113","Zotu1110",0.841922176893494,2.50567402826363e-07,3.92397100023154e-05
"Zotu113","Zotu1111",0.828006107853932,5.9182673517455e-07,6.26485295051833e-05
"Zotu113","Zotu1119",0.814782608695652,1.25188847066582e-06,9.41515033797841e-05
"Zotu114","Zotu1010",0.852326433829622,1.24688616764956e-07,2.68315540091414e-05
"Zotu114","Zotu1029",-0.820997678423992,8.8699449740659e-07,7.79148404137132e-05
"Zotu114","Zotu103",-0.800096670580654,2.6930801255709e-06,0.000145559542717086
"Zotu114","Zotu1034",0.899892384568565,2.18073425983789e-09,3.03873388882816e-06
"Zotu114","Zotu10430",-0.810331206834981,1.58998636479168e-06,0.000107828444957608
"Zotu114","Zotu1077",0.854960442277613,1.03618974733877e-07,2.44893746268855e-05
"Zotu114","Zotu112",-0.883306724321042,1.08730651149358e-08,7.21302411932356e-06
"Zotu1140","Zotu1034",0.803458031247725,2.27270556507619e-06,0.000131772166476367
"Zotu1140","Zotu114",0.884413405202513,9.84345982502077e-09,6.83800459576111e-06
"Zotu1151","Zotu1",0.848559668912968,1.61489934757952e-07,3.08031222681605e-05
"Zotu1151","Zotu1018",-0.809030046861511,1.70308494595872e-06,0.000112367492824783
"Zotu1151","Zotu1029",0.854169301794659,1.09584175955746e-07,2.52837264687547e-05
"Zotu1151","Zotu1043",-0.846730876523069,1.82640445434146e-07,3.31241236265702e-05
"Zotu1151","Zotu1044",-0.897022667245282,2.93529134332005e-09,3.58802675579084e-06
"Zotu1151","Zotu10514",-0.855874838472562,9.708802273245e-08,2.36668221489651e-05
"Zotu1151","Zotu106",0.826614160234184,6.42259932792655e-07,6.53323959200603e-05
"Zotu1151","Zotu1074",-0.875991554761447,2.04862484753932e-08,1.02553853492734e-05
"Zotu1151","Zotu108",0.820213386869539,9.27078318557761e-07,8.00831792238481e-05
"Zotu1151","Zotu1103",-0.850388461302866,1.4255880209646e-07,2.87492621761265e-05
"Zotu1151","Zotu1111",-0.848744198581108,1.59482662187571e-07,3.07022818801315e-05
"Zotu1151","Zotu1119",-0.822042179259438,8.36013601457353e-07,7.57167142122685e-05
"Zotu1151","Zotu1128",0.833929329793779,4.1445520304606e-07,5.14314294951821e-05
"Zotu1151","Zotu113",-0.902509044414978,1.65009939046001e-09,2.62303056197757e-06
"Zotu1158","Zotu1",-0.841739130434783,2.5354935839772e-07,3.92397100023154e-05
"Zotu1158","Zotu1029",-0.819301189432594,9.7572481028152e-07,8.22713559230032e-05
"Zotu1158","Zotu1043",0.844347826086957,2.13907070278907e-07,3.58502357932414e-05
"Zotu1158","Zotu1044",0.88,1.45515521854378e-08,8.3837761325599e-06
"Zotu1158","Zotu10514",0.81304347826087,1.37547904821567e-06,9.91568930823479e-05
