"label","id","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","abun"
"Zotu1","Zotu1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","uncultured","uncultured_Georgfuchsia","Zotu1",0.0230929071385584
"Zotu10","Zotu10","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","uncultured_bacterium","Zotu10",0.00496009852941294
"Zotu100","Zotu100","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales",NA,NA,NA,"Zotu100",0.000539090552859383
"Zotu1000","Zotu1000","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20","TRA3-20",NA,"Zotu1000",0.000191378948588203
"Zotu1002","Zotu1002","Bacteria","Chloroflexi","JG30-KF-CM66","JG30-KF-CM66","JG30-KF-CM66","JG30-KF-CM66","metagenome","Zotu1002",0.000249449464093184
"Zotu1004","Zotu1004","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","B1-7BS","B1-7BS","uncultured_bacterium","Zotu1004",0.000219352874634326
"Zotu1006","Zotu1006","Bacteria","Proteobacteria","Gammaproteobacteria","CCD24","CCD24","CCD24",NA,"Zotu1006",0.00022294759601879
"Zotu10065","Zotu10065","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu10065",0.000150199814673062
"Zotu1007","Zotu1007","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium","uncultured_bacterium","Zotu1007",0.000179006779206257
"Zotu101","Zotu101","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea","uncultured_bacterium","Zotu101",0.000865963334087317
"Zotu1010","Zotu1010","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Acidaminobacteraceae","Acidaminobacter","uncultured_prokaryote","Zotu1010",0.000223130257135635
"Zotu1016","Zotu1016","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu1016",0.000102398623956623
"Zotu1017","Zotu1017","Bacteria","Desulfobacterota","uncultured","uncultured","uncultured","uncultured",NA,"Zotu1017",0.000225697235383124
"Zotu1018","Zotu1018","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylocystis","uncultured_bacterium","Zotu1018",0.000172197326080891
"Zotu102","Zotu102","Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26","BSV26","uncultured_bacterium","Zotu102",0.00176170864762507
"Zotu1023","Zotu1023","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu1023",0.000532061958740142
"Zotu1024","Zotu1024","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Pedosphaeraceae",NA,"Zotu1024",0.000168049347452826
"Zotu1027","Zotu1027","Bacteria","Sva0485","Sva0485","Sva0485","Sva0485","Sva0485","uncultured_soil","Zotu1027",0.000195178996275678
"Zotu1029","Zotu1029","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea",NA,"Zotu1029",0.000165115873859755
"Zotu103","Zotu103","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea","uncultured_bacterium","Zotu103",0.00354904387388045
"Zotu10300","Zotu10300","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales",NA,NA,NA,"Zotu10300",0.000496985646595826
"Zotu1031","Zotu1031","Bacteria","Desulfobacterota","uncultured","uncultured","uncultured","uncultured","Myxococcales_bacterium","Zotu1031",0.000244872512483328
"Zotu1034","Zotu1034","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured",NA,"Zotu1034",0.000225432025966945
