"Source","Target","r","p","adjust.p"
"Zotu1041","Zotu10065",0.9,2.15619588850302e-09,1.74048994598319e-06
"Zotu1041","Zotu10300",0.824347826086957,7.32616793008845e-07,6.2671810701983e-05
"Zotu1064","Zotu1036",0.800792880885652,2.6007374120951e-06,0.000141463992048033
"Zotu1092","Zotu1036",0.825576807762951,6.82303606502899e-07,5.99693162438552e-05
"Zotu1092","Zotu1064",0.832033417127995,4.65205073796326e-07,4.7428640152222e-05
"Zotu110","Zotu1",0.853913043478261,1.11581265116456e-07,1.99267352935982e-05
"Zotu110","Zotu10065",0.837391304347826,3.34384448574809e-07,3.88480806602447e-05
"Zotu1113","Zotu1036",-0.815907320671464,1.17732779481017e-06,8.4787806719608e-05
"Zotu1134","Zotu1092",0.815202753750115,1.22355748732872e-06,8.67586523191928e-05
"Zotu1136","Zotu113",0.846167287554178,1.89640412262548e-07,2.77972550691457e-05
"Zotu115","Zotu100",0.80695652173913,1.89816226936479e-06,0.000115277080580924
"Zotu11729","Zotu1",0.830434782608696,5.12234558769364e-07,5.03014336711516e-05
"Zotu11729","Zotu10065",0.902608695652174,1.63241842265904e-09,1.44484065838166e-06
"Zotu11729","Zotu10300",0.852173913043478,1.26018503410208e-07,2.14618393966878e-05
"Zotu11729","Zotu1041",0.868695652173913,3.70859796205991e-08,1.02943435672855e-05
"Zotu11729","Zotu10430",0.818260869565217,1.03397104966874e-06,7.74810218322319e-05
"Zotu11729","Zotu110",0.803478260869565,2.27036338662501e-06,0.000128914350530195
"Zotu11736","Zotu1",0.897151575894255,2.89691426402783e-09,2.12309938485064e-06
"Zotu11736","Zotu10065",0.868449683500159,3.78121849387014e-08,1.04384907425648e-05
"Zotu11736","Zotu10300",0.802783232719726,2.35207561827266e-06,0.000132436164018706
"Zotu11736","Zotu1041",0.856708000248029,9.14609634694585e-08,1.77936104887603e-05
"Zotu11736","Zotu110",0.81887368754672,9.99296250636661e-07,7.58401589600334e-05
"Zotu11736","Zotu11729",0.916721047981139,3.12044612371665e-10,5.1615503951815e-07
"Zotu11993","Zotu10065",0.872173913043478,2.80725933610171e-08,8.60954014110427e-06
"Zotu11993","Zotu110",0.809565217391304,1.65572828292326e-06,0.000104545564212202
"Zotu11993","Zotu11729",0.817391304347826,1.08501384987747e-06,8.01746173266654e-05
"Zotu11993","Zotu11736",0.801913478404754,2.45800841058852e-06,0.000136459024832235
"Zotu120","Zotu1092",0.807982516068201,1.79928339827384e-06,0.000111140859827077
"Zotu1208","Zotu1036",0.880427284040392,1.40205478338373e-08,5.75940884459994e-06
"Zotu121","Zotu1064",-0.80262774004659,2.37071049502546e-06,0.000132505298102962
"Zotu121","Zotu11993",0.814782608695652,1.25188847066582e-06,8.77805230260017e-05
"Zotu12105","Zotu1089",0.803218109877213,2.30064793260709e-06,0.000130230870532411
"Zotu123","Zotu1063",0.85019400985519,1.4447263740891e-07,2.36837714880223e-05
"Zotu123","Zotu11736",0.826701476381473,6.38987073031672e-07,5.73613124220927e-05
"Zotu12783","Zotu10065",0.893821052181153,4.04804145759385e-09,2.53695283908043e-06
"Zotu12783","Zotu1041",0.816362363141112,1.14830408026734e-06,8.31789079905071e-05
"Zotu12783","Zotu11729",0.875544282857099,2.12677617739132e-08,7.29907413900928e-06
"Zotu12783","Zotu1199",-0.803498323488763,2.26804266434399e-06,0.000128914350530195
"Zotu12783","Zotu11993",0.911227499156443,6.13817441319497e-10,8.09601133828209e-07
"Zotu12783","Zotu121",0.825935908977521,6.68196500352991e-07,5.90121321521812e-05
"Zotu1283","Zotu1041",-0.802414349353796,2.39649783329021e-06,0.000133558591343772
"Zotu1283","Zotu1113",-0.908814399152301,8.150224939385e-10,9.92555444382212e-07
"Zotu1283","Zotu11993",-0.809383784930117,1.67164999709257e-06,0.00010528734115583
"Zotu1305","Zotu120",0.835200330202169,3.83262693137709e-07,4.23100627668943e-05
"Zotu13220","Zotu10065",0.879526605736605,1.51608992027263e-08,6.04641229250865e-06
"Zotu13220","Zotu1041",0.892613456206776,4.55776838492739e-09,2.76204870224244e-06
"Zotu13220","Zotu1113",0.885393124912889,9.00604080200651e-09,4.32720961877551e-06
"Zotu13220","Zotu11729",0.868696108795775,3.70846429120775e-08,1.02943435672855e-05
"Zotu13220","Zotu11736",0.823748133359127,7.58348399854114e-07,6.43006157306555e-05
"Zotu13220","Zotu11993",0.839363512914359,2.95234144020995e-07,3.61301064266712e-05
"Zotu13220","Zotu12783",0.836932702236575,3.44127534024352e-07,3.95925202358314e-05
"Zotu13220","Zotu1283",-0.856956456137874,8.98404575178091e-08,1.75847664088762e-05
"Zotu1323","Zotu10065",0.861739130434783,6.32616223850135e-08,1.42005101878956e-05
"Zotu1323","Zotu11729",0.814782608695652,1.25188847066582e-06,8.77805230260017e-05
"Zotu1323","Zotu11993",0.825217391304348,6.96688593926353e-07,6.06263281340802e-05
"Zotu1323","Zotu12783",0.857267513533044,8.7847932039864e-08,1.72741337250148e-05
"Zotu1323","Zotu13220",0.86328086032536,5.63417850152348e-08,1.31901629475128e-05
"Zotu13236","Zotu1",0.907826086956522,9.13316977602108e-10,1.03334399162251e-06
"Zotu13236","Zotu10065",0.803478260869565,2.27036338662501e-06,0.000128914350530195
"Zotu13236","Zotu11729",0.935652173913043,2.00039984576961e-11,8.97072642835894e-08
"Zotu13236","Zotu11736",0.92846273123327,6.19950757396737e-11,1.69063084855971e-07
"Zotu13236","Zotu123",0.807826086956522,1.81405634469556e-06,0.000111439386427978
"Zotu13236","Zotu12783",0.816362363141112,1.14830408026734e-06,8.31789079905071e-05
"Zotu1339","Zotu1092",-0.833534852999475,4.24587081715444e-07,4.46597273298844e-05
"Zotu1339","Zotu120",-0.816202090592335,1.15845307702145e-06,8.37910356258084e-05
"Zotu135","Zotu113",0.844212678301576,2.15815753712434e-07,2.97282149589917e-05
"Zotu1351","Zotu1036",0.851450972562804,1.32496488891576e-07,2.24123419570904e-05
