"Source","Target","r","p","adjust.p"
"Zotu1002","Zotu1",-0.880134552754722,1.4382421031911e-08,1.1196899708402e-05
"Zotu1002","Zotu10",-0.800818161866238,2.59743787545119e-06,0.00018932663893971
"Zotu1003","Zotu10",0.826419213973799,6.49621122228439e-07,8.76490162514041e-05
"Zotu1006","Zotu10",-0.810023708888486,1.6160931171072e-06,0.000144496027976516
"Zotu1009","Zotu1",-0.821739130434783,8.50528848017618e-07,0.000100574336062237
"Zotu101","Zotu1002",-0.874376249188637,2.34364445628188e-08,1.4683354977826e-05
"Zotu1026","Zotu1002",-0.829031030914706,5.56983337673955e-07,8.03585223896342e-05
"Zotu1027","Zotu1002",0.818564999240426,1.01663083151848e-06,0.000112359117436361
"Zotu1027","Zotu101",-0.836521739130435,3.53073219105937e-07,6.17114319007903e-05
"Zotu1029","Zotu1",0.828984286679397,5.58531683569896e-07,8.05549377831981e-05
"Zotu103","Zotu1",0.819130434782609,9.85079691151469e-07,0.000109531439596723
"Zotu103","Zotu100",0.856521739130435,9.26929382139008e-08,2.9858998561951e-05
"Zotu103","Zotu1002",-0.803061874254812,2.31900774427807e-06,0.000177819689168136
"Zotu103","Zotu1003",0.810895170651679,1.54307970268164e-06,0.000140911213030274
"Zotu103","Zotu101",0.859130434782609,7.67213101937614e-08,2.7119944678008e-05
"Zotu1030","Zotu10",0.852289604403377,1.25008590368125e-07,3.54679119003649e-05
"Zotu1030","Zotu1003",0.836603292665892,3.51281644661583e-07,6.17114319007903e-05
"Zotu10300","Zotu1",0.845217391304348,2.01983185510457e-07,4.58559297346975e-05
"Zotu10300","Zotu103",0.838260869565217,3.16584769510797e-07,5.82892937682107e-05
"Zotu1031","Zotu1002",0.841598213504767,2.55866570153529e-07,5.18105756950919e-05
"Zotu1031","Zotu1026",-0.802437205560879,2.39372388222137e-06,0.000180471647179958
"Zotu1039","Zotu1027",-0.810434782608696,1.58127765237381e-06,0.000142189595243714
"Zotu1039","Zotu1036",-0.851198268455581,1.34830217879411e-07,3.68140203109507e-05
"Zotu104","Zotu1",0.914782608695652,3.98232558040945e-10,1.59379327485923e-06
"Zotu104","Zotu1002",-0.835839909938682,3.68374162285079e-07,6.37017309307159e-05
"Zotu104","Zotu10300",0.810434782608696,1.58127765237381e-06,0.000142189595243714
"Zotu10430","Zotu1",0.932338465835593,3.42148531728981e-11,3.68579505805045e-07
"Zotu10430","Zotu1002",-0.844951211059653,2.0556839164243e-07,4.63763574255635e-05
"Zotu10430","Zotu1009",-0.859170926458458,7.64941785469375e-08,2.7119944678008e-05
"Zotu10430","Zotu1029",0.832181480825744,4.61050837063937e-07,7.15900893300949e-05
"Zotu10430","Zotu10300",0.83244505878178,4.53737518668618e-07,7.15900893300949e-05
"Zotu10430","Zotu1031",-0.83814073549976,3.18992334324975e-07,5.86323603841738e-05
"Zotu10430","Zotu104",0.854789636675396,1.0488164425837e-07,3.20151149226509e-05
"Zotu1044","Zotu1002",0.808996065651142,1.70613221373017e-06,0.000149102022220727
"Zotu1044","Zotu1036",0.814755126118071,1.2537618616637e-06,0.000125240550079026
"Zotu1045","Zotu1",-0.806086956521739,1.98572094967098e-06,0.00016172766328375
"Zotu1045","Zotu1002",0.831853392085238,4.70301062982514e-07,7.26093615332015e-05
"Zotu1045","Zotu1007",0.822608695652174,8.09470267704171e-07,9.80971421262943e-05
"Zotu1045","Zotu1036",0.869061820784134,3.60280607569763e-08,1.83662847814043e-05
"Zotu10514","Zotu1002",0.804390713539293,2.166926567293e-06,0.000170183514421757
"Zotu10514","Zotu1036",0.843159669907732,2.31216940926871e-07,4.92168844946757e-05
"Zotu10514","Zotu1044",0.825831722066501,6.72262378653699e-07,8.89000759871972e-05
"Zotu10514","Zotu1045",0.89304347826087,4.36999325614806e-09,5.88446904398188e-06
"Zotu1052","Zotu1",0.809383784930117,1.67164999709257e-06,0.000146862984317084
"Zotu1052","Zotu1002",-0.897951168125565,2.66879029986455e-09,4.53343655799594e-06
"Zotu1052","Zotu101",0.81681784954486,1.11989231088572e-06,0.00011839097074599
"Zotu1052","Zotu1026",0.891004361173361,5.32654986784564e-09,6.55150429511328e-06
"Zotu1052","Zotu1027",-0.833544494928031,4.24336821236437e-07,6.86447514469206e-05
"Zotu1052","Zotu1031",-0.82982746262066,5.31184699559262e-07,7.83235383962881e-05
"Zotu1052","Zotu1036",-0.815135648117903,1.2280438217438e-06,0.000124372629925431
"Zotu1052","Zotu10430",0.801567174956032,2.50135395019058e-06,0.000185282364448759
"Zotu1052","Zotu1045",-0.830292091659081,5.16631829761138e-07,7.67148342004731e-05
"Zotu106","Zotu10430",0.804404804170183,2.16536266561818e-06,0.000170183514421757
"Zotu106","Zotu1052",0.801485091276953,2.51172717868897e-06,0.000185938405303426
"Zotu1065","Zotu1",0.800869565217391,2.59074046393692e-06,0.000188870414940856
"Zotu1065","Zotu10",0.800873360374952,2.59024659698959e-06,0.000188870414940856
