"Source","Target","r","p","adjust.p"
"Zotu102","Zotu1",-0.806086956521739,1.98572094967098e-06,0.000144634017039027
"Zotu102","Zotu100",0.854782608695652,1.04933891797998e-07,2.3335934192982e-05
"Zotu1025","Zotu1011",0.917886178861789,2.6872726266447e-10,5.30520372772088e-07
"Zotu103","Zotu101",0.866086956521739,4.54660651350025e-08,1.38155873126091e-05
"Zotu1033","Zotu1026",0.826558153166976,6.44367105673282e-07,7.24758715145153e-05
"Zotu1041","Zotu1016",0.811304347826087,1.5098226215926e-06,0.000121311326015673
"Zotu10430","Zotu10300",0.867826086956522,3.97108226302123e-08,1.26271783176547e-05
"Zotu1052","Zotu1033",0.811491217306572,1.49484772560271e-06,0.000120888033831714
"Zotu1063","Zotu100",-0.814577986182046,1.2658969206214e-06,0.000109328511453152
"Zotu1063","Zotu1026",0.884527297576357,9.74264113828838e-09,5.27798562702756e-06
"Zotu1063","Zotu1033",0.912927619469894,5.00238517275875e-10,8.08913333810417e-07
"Zotu1063","Zotu1052",0.836697247706422,3.49227706752941e-07,4.98577553978953e-05
"Zotu1064","Zotu1033",-0.810982449179364,1.53593165808097e-06,0.000122657777128968
"Zotu1064","Zotu1035",0.823117767503114,7.86262374763425e-07,8.15386769657175e-05
"Zotu1064","Zotu1036",0.925292740046838,9.83961800926636e-11,2.78303611831261e-07
"Zotu109","Zotu107",0.866086956521739,4.54660651350025e-08,1.38155873126091e-05
"Zotu1092","Zotu1036",0.885641984089557,8.80379813494869e-09,4.90989500353151e-06
"Zotu1092","Zotu1064",0.877483562537043,1.80622246048756e-08,7.65785968972509e-06
"Zotu1097","Zotu1035",0.863478260869565,5.55066836938067e-08,1.5668173484706e-05
"Zotu113","Zotu1092",0.818348413953922,1.02895281051119e-06,9.64494147118079e-05
"Zotu1134","Zotu1036",0.876123825611624,2.02601273535663e-08,8.27358809849431e-06
"Zotu1134","Zotu1064",0.875670579969817,2.10444164316925e-08,8.49924662859072e-06
"Zotu1134","Zotu1092",0.871052631578947,3.07357757023397e-08,1.07841728775762e-05
"Zotu1136","Zotu100",0.858634463002788,7.9552841203423e-08,1.95416999864231e-05
"Zotu1136","Zotu1057",0.802767510033059,2.35395394998505e-06,0.000160996441526353
"Zotu1136","Zotu1064",0.800292199752843,2.66685602312577e-06,0.000173790657575078
"Zotu114","Zotu1025",0.80564466841501,2.03162010725677e-06,0.000147045245342912
"Zotu114","Zotu1063",-0.831362001768962,4.84465608519002e-07,6.07740971704891e-05
"Zotu1147","Zotu1036",0.838009700796755,3.21637002143049e-07,4.71572225550377e-05
"Zotu1147","Zotu114",0.824251914159603,7.36679111934535e-07,7.81856590190837e-05
"Zotu115","Zotu100",0.819130434782609,9.85079691151469e-07,9.36739758080366e-05
"Zotu115","Zotu102",0.854782608695652,1.04933891797998e-07,2.3335934192982e-05
"Zotu1151","Zotu1",0.804668651555401,2.1362634072819e-06,0.000151752041254497
"Zotu1151","Zotu100",-0.891536290075586,5.06040231940119e-09,3.50488387468889e-06
"Zotu1151","Zotu102",-0.801011066775603,2.57238327860954e-06,0.000169730880614492
"Zotu1151","Zotu1026",0.854110091605875,1.10042750911532e-07,2.40968714496162e-05
"Zotu1151","Zotu1033",0.891346153846154,5.15412934554149e-09,3.52393241720944e-06
"Zotu1151","Zotu1036",-0.80623708669148,1.97035206195295e-06,0.000144528714708021
"Zotu1151","Zotu1063",0.92231987892946,1.49031897933583e-10,3.63314928512419e-07
"Zotu1151","Zotu1064",-0.872197625273066,2.80185836754043e-08,1.0151707964784e-05
"Zotu1151","Zotu114",-0.829614406918191,5.37979462311711e-07,6.49801315439151e-05
"Zotu1155","Zotu1011",0.911991839712549,5.60156809825685e-10,8.66611059908877e-07
"Zotu1155","Zotu102",0.801020462238532,2.57116849766703e-06,0.000169730880614492
"Zotu1155","Zotu1025",0.877234471532378,1.84480679621402e-08,7.76010141412932e-06
"Zotu1155","Zotu114",0.812562065541211,1.41155714405983e-06,0.00011695142615689
"Zotu11729","Zotu10300",0.849565217391304,1.50819809086045e-07,2.95802791713304e-05
"Zotu11729","Zotu10430",0.924347826086957,1.12481135516873e-10,3.04166004390896e-07
"Zotu11729","Zotu11141",0.82309563533639,7.87258873202745e-07,8.15631622161636e-05
"Zotu11729","Zotu1142",0.818973330187405,9.93757285572272e-07,9.41652332018386e-05
"Zotu11736","Zotu1142",0.849394924198196,1.52581191237289e-07,2.97213752136877e-05
"Zotu11736","Zotu11729",0.816083102296281,1.16603943567384e-06,0.000104122299793277
"Zotu118","Zotu100",0.803478260869565,2.27036338662501e-06,0.00015704843414351
"Zotu118","Zotu102",0.824347826086957,7.32616793008845e-07,7.78675625000838e-05
"Zotu1182","Zotu1",-0.847693967696634,1.7121199213932e-07,3.2050606049145e-05
"Zotu1188","Zotu1097",0.812806695674341,1.39312007396697e-06,0.000115911989763361
"Zotu1198","Zotu1",-0.824120608193962,7.42273118969905e-07,7.86237775002639e-05
"Zotu1198","Zotu1025",0.808123534338196,1.78605770795315e-06,0.000135760058424905
"Zotu1198","Zotu1036",0.84809752007651,1.66616673791253e-07,3.14649330551541e-05
"Zotu1198","Zotu114",0.862433841278628,6.00544414197657e-08,1.64890434490035e-05
"Zotu1198","Zotu1147",0.818424931475981,1.02458444883879e-06,9.63678913599771e-05
"Zotu1198","Zotu1151",-0.81040118762503,1.58409767303525e-06,0.000125123496955499
"Zotu1198","Zotu1155",0.801567174956032,2.50135395019058e-06,0.000166033938832967
"Zotu1198","Zotu1182",0.852902840188445,1.19775446449921e-07,2.53239290505295e-05
"Zotu11993","Zotu10430",0.808695652173913,1.73328367281123e-06,0.000132863336400337
"Zotu11993","Zotu11141",0.803487745664533,2.26926598001498e-06,0.00015704843414351
"Zotu11993","Zotu1142",0.858137835881808,8.24815893363251e-08,1.99564515480401e-05
"Zotu11993","Zotu11729",0.898260869565217,2.58487053983458e-09,2.29606516199481e-06
"Zotu11993","Zotu11736",0.869784363612433,3.40195982495572e-08,1.15113591999138e-05
"Zotu1207","Zotu1026",0.882580427992737,1.16003620043159e-08,5.79647032735533e-06
"Zotu1207","Zotu1033",0.879807692307692,1.47963827856756e-08,6.74417450727154e-06
"Zotu1207","Zotu1063",0.889446970820977,6.17974160732615e-09,3.93004697784172e-06
"Zotu1207","Zotu1151",0.818269230769231,1.03349082625215e-06,9.66102438899829e-05
"Zotu1208","Zotu1036",0.83445520071871,4.01284566686755e-07,5.40975977596974e-05
"Zotu1208","Zotu1063",-0.841998732086845,2.49329593637881e-07,4.01565401677219e-05
"Zotu1208","Zotu1064",0.847642776097916,1.71802951864919e-07,3.21052027249824e-05
"Zotu1208","Zotu1134",0.839608532991424,2.90668351610179e-07,4.42456629792082e-05
"Zotu1208","Zotu1151",-0.808558319659992,1.74582342604701e-06,0.000133697168862773
"Zotu121","Zotu1147",-0.818260869565217,1.03397104966874e-06,9.66102438899829e-05
"Zotu12105","Zotu10065",0.817232685489876,1.09456309349554e-06,9.99783809560894e-05
"Zotu12105","Zotu10300",0.869452026415747,3.49305702140867e-08,1.1648132550748e-05
"Zotu12105","Zotu10430",0.832028165418873,4.65353033440863e-07,5.9142106652081e-05
"Zotu1227","Zotu1064",0.816045810842558,1.16842612829515e-06,0.000104268585005161
"Zotu123","Zotu1026",0.839309312497032,2.96252751885717e-07,4.4841184402781e-05
"Zotu123","Zotu1033",0.881477931931143,1.27881185640888e-08,6.15998412406601e-06
"Zotu123","Zotu1063",0.822616584729895,8.09106005306148e-07,8.30091380897374e-05
"Zotu123","Zotu1151",0.828442952624083,5.76744688896014e-07,6.77920345323155e-05
"Zotu123","Zotu12",-0.823478260869565,7.7018883670732e-07,8.04943639231553e-05
"Zotu123","Zotu1207",0.888793101490738,6.57318732777412e-09,4.08342131844352e-06
"Zotu12411","Zotu11736",0.828299574237438,5.81656554254906e-07,6.80878825827221e-05
"Zotu125","Zotu102",0.801043724089781,2.56816306465346e-06,0.000169626327017056
"Zotu1251","Zotu1036",0.81073621182658,1.55617444885792e-06,0.000123860400839917
"Zotu1251","Zotu1064",0.82609277517037,6.62116204974694e-07,7.35971387269888e-05
"Zotu1251","Zotu113",0.822454619582463,8.16613813459099e-07,8.3475675186867e-05
"Zotu1251","Zotu1134",0.813816163496081,1.31928734381503e-06,0.000112125772218724
"Zotu1260","Zotu1030",0.817391304347826,1.08501384987747e-06,9.94448723461893e-05
"Zotu1260","Zotu125",0.810176144396994,1.60310393759744e-06,0.000126129395720105
"Zotu1276","Zotu1036",0.855202937636714,1.01849729094994e-07,2.29353615985965e-05
"Zotu1276","Zotu1064",0.839443100303572,2.93744103263549e-07,4.46229408931005e-05
"Zotu1276","Zotu1134",0.874659345980678,2.28933481061233e-08,9.07258874441114e-06
"Zotu1276","Zotu1251",0.809029552963702,1.70312920144688e-06,0.000131460004377644
"Zotu12783","Zotu10300",0.874505440699175,2.31871832845343e-08,9.14399075718557e-06
"Zotu12783","Zotu10430",0.887211181070055,7.61985230468554e-09,4.45013203726675e-06
"Zotu12783","Zotu11141",0.828991629894186,5.58288194341117e-07,6.64891899370116e-05
"Zotu12783","Zotu1142",0.843255610119476,2.29774125726223e-07,3.81065041781165e-05
"Zotu12783","Zotu11729",0.93496723970543,2.24023022354913e-11,1.044771948633e-07
"Zotu12783","Zotu11736",0.82103352196931,8.852001052162e-07,8.75928913462305e-05
"Zotu12783","Zotu11993",0.876696085590706,1.93074332077714e-08,7.98588195586322e-06
"Zotu12798","Zotu11729",0.863745534912787,5.43936722330329e-08,1.55448999667465e-05
"Zotu12798","Zotu11736",0.805845477213484,2.01066514726733e-06,0.000146058948843105
"Zotu12798","Zotu12783",0.846513455771068,1.85313008937982e-07,3.3558027235897e-05
"Zotu128","Zotu1134",0.803501110819219,2.26772040989864e-06,0.00015704843414351
"Zotu128","Zotu1227",0.835396963510521,3.78629120056928e-07,5.22248517186451e-05
"Zotu1296","Zotu1064",0.810284548198821,1.59392338283659e-06,0.000125745276061907
"Zotu1296","Zotu1092",0.801578326451027,2.49994763668049e-06,0.000166033938832967
"Zotu1299","Zotu127",0.807566881452076,1.83877312087688e-06,0.00013776627652141
"Zotu13","Zotu115",0.800869565217391,2.59074046393692e-06,0.000169966307207364
"Zotu1312","Zotu1026",0.806435980787818,1.95015422699285e-06,0.000143472320375157
"Zotu1312","Zotu1033",0.878518714868614,1.65352236347616e-08,7.22953227489737e-06
"Zotu1312","Zotu1052",0.912981363059864,4.96979790653995e-10,8.08913333810417e-07
"Zotu1312","Zotu1063",0.904006123007937,1.40181222185731e-09,1.58836183845194e-06
"Zotu1312","Zotu1151",0.858099918474224,8.2709118887081e-08,1.99814551074695e-05
"Zotu1312","Zotu1207",0.812668096496707,1.4035393802736e-06,0.000116615169464437
"Zotu1312","Zotu1208",-0.824755616764043,7.15567156195362e-07,7.700450572778e-05
