"Source","Target","r","p","adjust.p"
"Zotu1006","Zotu1",-0.818260869565217,1.03397104966874e-06,7.71634316807139e-05
"Zotu1006","Zotu100",-0.814782608695652,1.25188847066582e-06,8.59651477641488e-05
"Zotu1007","Zotu1",-0.838260869565217,3.16584769510797e-07,3.99884248220652e-05
"Zotu1007","Zotu1006",0.874782608695652,2.26604313091627e-08,9.72549582613906e-06
"Zotu101","Zotu10",0.807826086956522,1.81405634469556e-06,0.000106366207376271
"Zotu1017","Zotu1006",0.853663860145624,1.13554411651506e-07,2.29423779134363e-05
"Zotu1017","Zotu1007",0.835399019531199,3.78580936377659e-07,4.40696849548922e-05
"Zotu1018","Zotu1006",0.814524915971857,1.26955283574759e-06,8.67172726880113e-05
"Zotu102","Zotu1006",0.888695652173913,6.63371424458603e-09,5.27948474490756e-06
"Zotu102","Zotu1007",0.82,9.38259970162392e-07,7.3088448581452e-05
"Zotu102","Zotu1017",0.818438810389233,1.02379387945106e-06,7.71634316807139e-05
"Zotu102","Zotu1018",0.825396844909014,6.89472817727577e-07,6.18611482184997e-05
"Zotu1024","Zotu1",-0.820713974884934,9.01312037004942e-07,7.14467547185754e-05
"Zotu1024","Zotu1005",0.806788817304702,1.91477634925441e-06,0.000109712249499783
"Zotu1024","Zotu1006",0.811140429048525,1.52306817913228e-06,9.62627821783829e-05
"Zotu1024","Zotu102",0.879025572252156,1.58307031927762e-08,8.22060348178188e-06
"Zotu1027","Zotu1",-0.879895894600921,1.46836349745882e-08,7.88209774543535e-06
"Zotu1027","Zotu1007",0.820713974884934,9.01312037004942e-07,7.14467547185754e-05
"Zotu1027","Zotu102",0.812881073746054,1.38755709633287e-06,9.11495294500064e-05
"Zotu103","Zotu10",0.809565217391304,1.65572828292326e-06,0.000100885246603358
"Zotu103","Zotu1006",-0.823478260869565,7.7018883670732e-07,6.53545959944826e-05
"Zotu104","Zotu1",0.818260869565217,1.03397104966874e-06,7.71634316807139e-05
"Zotu1043","Zotu103",-0.807659139653467,1.82994161468386e-06,0.000106983494967434
"Zotu10430","Zotu1",0.909328136303872,7.67790275801872e-10,1.87806289462858e-06
"Zotu10430","Zotu1006",-0.803218109877213,2.30064793260709e-06,0.000122438349213528
"Zotu10430","Zotu1007",-0.824961967751528,7.07075305861338e-07,6.23649278085449e-05
"Zotu10430","Zotu102",-0.802783232719726,2.35207561827266e-06,0.000124586510986701
"Zotu10430","Zotu1027",-0.825680263027138,6.78212419780166e-07,6.11450084404039e-05
"Zotu10430","Zotu10300",0.820178319019179,9.28907704755844e-07,7.30160020121529e-05
"Zotu1044","Zotu1027",0.859756097560976,7.32783564938444e-08,1.80744791731819e-05
"Zotu1048","Zotu102",0.807867964682367,1.81009092692364e-06,0.000106366207376271
"Zotu105","Zotu1",-0.805217391304348,2.07685550868142e-06,0.000114823711139474
"Zotu105","Zotu1006",0.839130434782609,2.9963679581968e-07,3.88806355607786e-05
"Zotu105","Zotu102",0.853913043478261,1.11581265116456e-07,2.26856155154816e-05
"Zotu105","Zotu1024",0.825935908977521,6.68196500352991e-07,6.04952756409763e-05
"Zotu105","Zotu1027",0.811140429048525,1.52306817913228e-06,9.62627821783829e-05
"Zotu105","Zotu103",-0.822608695652174,8.09470267704171e-07,6.72791451910604e-05
"Zotu105","Zotu1042",0.817134178916775,1.10053106472385e-06,7.99876552727843e-05
"Zotu10514","Zotu1",-0.814782608695652,1.25188847066582e-06,8.59651477641488e-05
"Zotu10514","Zotu1006",0.86695652173913,4.25011348337279e-08,1.33901983268664e-05
"Zotu10514","Zotu1007",0.839130434782609,2.9963679581968e-07,3.88806355607786e-05
"Zotu10514","Zotu1018",0.826701476381473,6.38987073031672e-07,5.89787377547164e-05
"Zotu10514","Zotu102",0.849565217391304,1.50819809086045e-07,2.67165615423612e-05
"Zotu10514","Zotu1027",0.850304934742928,1.43378090733393e-07,2.60409419955105e-05
"Zotu10514","Zotu105",0.851304347826087,1.33846127736703e-07,2.51324300333093e-05
