"Source","Target","r","p","adjust.p"
"Zotu100","Zotu1",-0.873913043478261,2.43500499763627e-08,5.38082618818708e-06
"Zotu10065","Zotu1",0.834782608695652,3.93274619980843e-07,3.43568878020376e-05
"Zotu1035","Zotu1",-0.800236828465285,2.67425920075226e-06,0.000122996619149902
"Zotu10430","Zotu10300",0.843478260869565,2.26456730700875e-07,2.3744541001947e-05
"Zotu110","Zotu1",0.899130434782609,2.36179054091679e-09,1.08001630319158e-06
"Zotu110","Zotu100",-0.840869565217391,2.68153164562079e-07,2.64344532198985e-05
"Zotu1113","Zotu10065",0.825217391304348,6.96688593926353e-07,5.02525426319422e-05
"Zotu1113","Zotu1036",-0.816364341414901,1.14817930585431e-06,6.96163588255166e-05
"Zotu11141","Zotu10065",0.815652173913043,1.19388609887139e-06,7.16026954331428e-05
"Zotu11141","Zotu1029",0.838990744208989,3.02303472921039e-07,2.8719731428909e-05
"Zotu11141","Zotu10300",0.814782608695652,1.25188847066582e-06,7.39016286639557e-05
"Zotu115","Zotu1035",0.811681359565449,1.47974646580451e-06,8.30439277606192e-05
"Zotu11729","Zotu10065",0.820869565217391,8.93434620063971e-07,5.85452361627521e-05
"Zotu11729","Zotu10300",0.840869565217391,2.68153164562079e-07,2.64344532198985e-05
"Zotu11729","Zotu10430",0.883478260869565,1.07073923061307e-08,3.07308590052201e-06
"Zotu11729","Zotu11141",0.88,1.45515521854378e-08,3.7843142776023e-06
"Zotu11736","Zotu1",0.807132004294589,1.88091510167077e-06,9.69345779161106e-05
"Zotu11736","Zotu10065",0.846270948468357,1.88335175010934e-07,2.11761855074353e-05
"Zotu11736","Zotu1029",0.819151425944689,9.83925385611428e-07,6.29535415061313e-05
"Zotu11736","Zotu11141",0.90715375051644,9.86160930693813e-10,5.77200321633142e-07
"Zotu1188","Zotu1035",0.810944267313992,1.53905508737395e-06,8.53202505020828e-05
"Zotu1188","Zotu1036",0.861270192442276,6.55124483550651e-08,1.03576860655726e-05
"Zotu1188","Zotu1064",0.844007714178279,2.1873952826823e-07,2.3297803111567e-05
"Zotu1199","Zotu1114",0.882602474147492,1.15776574993731e-08,3.23541362627949e-06
"Zotu11993","Zotu1",0.809565217391304,1.65572828292326e-06,8.91760604022683e-05
"Zotu11993","Zotu100",-0.853913043478261,1.11581265116456e-07,1.45984342929159e-05
"Zotu11993","Zotu10065",0.871304347826087,3.01189384543932e-08,6.22390768627399e-06
