"label","id","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","abun"
"Zotu1","Zotu1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","uncultured","uncultured_Georgfuchsia","Zotu1",0.0708097378050105
"Zotu10","Zotu10","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","uncultured_bacterium","Zotu10",0.0408302943363278
"Zotu100","Zotu100","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales",NA,NA,NA,"Zotu100",0.00158908842610444
"Zotu10065","Zotu10065","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu10065",0.00146941803509287
"Zotu1016","Zotu1016","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu1016",0.00110744874905302
"Zotu102","Zotu102","Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26","BSV26","uncultured_bacterium","Zotu102",0.000108306353148563
"Zotu1029","Zotu1029","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea",NA,"Zotu1029",0.000298113903339227
"Zotu10300","Zotu10300","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales",NA,NA,NA,"Zotu10300",0.000397557862787331
"Zotu1035","Zotu1035","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","uncultured","uncultured_soil","Zotu1035",0.000136517174604068
"Zotu1036","Zotu1036","Bacteria","Spirochaetota","Leptospirae","Leptospirales","Leptospiraceae","Turneriella","uncultured_bacterium","Zotu1036",0.00010300839278048
"Zotu10402","Zotu10402","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_vadinHA17","Bacteroidetes_vadinHA17","uncultured_bacterium","Zotu10402",0.00011972571184946
"Zotu10430","Zotu10430","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","uncultured",NA,"Zotu10430",0.000457430325302613
"Zotu1057","Zotu1057","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio_idahonensis","Zotu1057",0.000140072233428206
"Zotu1064","Zotu1064","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5","SB-5","uncultured_soil","Zotu1064",0.000150949338430905
"Zotu1073","Zotu1073","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomonas","uncultured_bacterium","Zotu1073",0.000138723846679437
"Zotu1089","Zotu1089","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","uncultured_Stigmatella","Zotu1089",0.000215160735156435
"Zotu1092","Zotu1092","Bacteria","FCPU426","FCPU426","FCPU426","FCPU426","FCPU426","metagenome","Zotu1092",0.000104036739645376
"Zotu110","Zotu110","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter",NA,"Zotu110",0.00131011347591462
"Zotu1113","Zotu1113","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA,NA,"Zotu1113",0.00152624616659408
"Zotu1114","Zotu1114","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","Roseimarinus","uncultured_bacterium","Zotu1114",0.000124123810736662
"Zotu11141","Zotu11141","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu11141",0.000109545312751961
"Zotu1117","Zotu1117","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae",NA,NA,"Zotu1117",0.000259129428076338
"Zotu1127","Zotu1127","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Salinispira",NA,"Zotu1127",0.000128426451128099
