"label","id","labelDiff","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","abun"
"Zotu1","Zotu1","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","uncultured","uncultured_Georgfuchsia","Zotu1",0.0218148682322043
"Zotu10","Zotu10","other","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","uncultured_bacterium","Zotu10",0.00247602524460191
"Zotu100","Zotu100","other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales",NA,NA,NA,"Zotu100",0.000561518771390193
"Zotu1006","Zotu1006","other","Bacteria","Proteobacteria","Gammaproteobacteria","CCD24","CCD24","CCD24",NA,"Zotu1006",0.000213229703173337
"Zotu1007","Zotu1007","other","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium","uncultured_bacterium","Zotu1007",0.000197726882488122
"Zotu101","Zotu101","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea","uncultured_bacterium","Zotu101",0.000975017500910723
"Zotu1017","Zotu1017","other","Bacteria","Desulfobacterota","uncultured","uncultured","uncultured","uncultured",NA,"Zotu1017",0.000222340045448284
"Zotu1018","Zotu1018","other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylocystis","uncultured_bacterium","Zotu1018",0.000157151748797359
"Zotu102","Zotu102","other","Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26","BSV26","uncultured_bacterium","Zotu102",0.00206921136052016
"Zotu1020","Zotu1020","other","Bacteria","Desulfobacterota","Syntrophobacteria","Syntrophobacterales","Syntrophobacteraceae","Syntrophobacter","uncultured_prokaryote","Zotu1020",0.000216326003365455
"Zotu1024","Zotu1024","other","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Pedosphaeraceae",NA,"Zotu1024",0.000213399578027827
"Zotu1026","Zotu1026","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu1026",0.000161142677600661
"Zotu1027","Zotu1027","other","Bacteria","Sva0485","Sva0485","Sva0485","Sva0485","Sva0485","uncultured_soil","Zotu1027",0.000193440608014387
"Zotu1029","Zotu1029","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea",NA,"Zotu1029",0.000136402585773047
"Zotu103","Zotu103","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea","uncultured_bacterium","Zotu103",0.00303562957524362
"Zotu10300","Zotu10300","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales",NA,NA,NA,"Zotu10300",0.000239943265688273
"Zotu1031","Zotu1031","other","Bacteria","Desulfobacterota","uncultured","uncultured","uncultured","uncultured","Myxococcales_bacterium","Zotu1031",0.000185127769367207
"Zotu1034","Zotu1034","other","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured",NA,"Zotu1034",0.00020833438892256
"Zotu104","Zotu104","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu104",0.000912825234597798
"Zotu10402","Zotu10402","other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_vadinHA17","Bacteroidetes_vadinHA17","uncultured_bacterium","Zotu10402",0.000959960065777851
"Zotu1042","Zotu1042","other","Bacteria","Acidobacteriota","Acidobacteriae","GOUTB8","GOUTB8","GOUTB8","uncultured_bacterium","Zotu1042",0.000223898999796492
"Zotu10430","Zotu10430","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","uncultured",NA,"Zotu10430",0.000194172461287339
"Zotu1044","Zotu1044","other","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA,"Zotu1044",0.000178979696979572
"Zotu1045","Zotu1045","other","Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41","BIrii41",NA,"Zotu1045",0.000195825775165358
