"label","id","labelDiff","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","abun"
"Zotu1","Zotu1","diff","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","uncultured","uncultured_Georgfuchsia","Zotu1",0.0650806957162036
"Zotu10","Zotu10","other","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","uncultured_bacterium","Zotu10",0.0214175429001682
"Zotu100","Zotu100","other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales",NA,NA,NA,"Zotu100",0.00204020485974085
"Zotu10065","Zotu10065","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu10065",0.00123048218081145
"Zotu1011","Zotu1011","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum",NA,"Zotu1011",0.000290429567939343
"Zotu1016","Zotu1016","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu1016",0.00106689790577516
"Zotu102","Zotu102","other","Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26","BSV26","uncultured_bacterium","Zotu102",0.000174977182638592
"Zotu1025","Zotu1025","other","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas_roseiflava","Zotu1025",0.000320703155310082
"Zotu1029","Zotu1029","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea",NA,"Zotu1029",0.000272940897007567
"Zotu103","Zotu103","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea","uncultured_bacterium","Zotu103",0.00534238003497646
"Zotu10300","Zotu10300","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales",NA,NA,NA,"Zotu10300",0.000373207258907246
"Zotu1033","Zotu1033","other","Bacteria","Deinococcota","Deinococci","Thermales","Thermaceae","Meiothermus","uncultured_bacterium","Zotu1033",0.000188943894736301
"Zotu1035","Zotu1035","other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","uncultured","uncultured_soil","Zotu1035",0.000242580766146296
"Zotu1036","Zotu1036","other","Bacteria","Spirochaetota","Leptospirae","Leptospirales","Leptospiraceae","Turneriella","uncultured_bacterium","Zotu1036",0.000134554558632458
"Zotu1041","Zotu1041","other","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacterales","BBMC-4","uncultured_Leptospira","Zotu1041",0.000514786921796631
"Zotu10430","Zotu10430","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","uncultured",NA,"Zotu10430",0.000373879726628748
"Zotu1052","Zotu1052","other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Phreatobacter","uncultured_bacterium","Zotu1052",0.000379269818548978
"Zotu1063","Zotu1063","other","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_bacterium","Zotu1063",0.000243732372064541
"Zotu1064","Zotu1064","other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5","SB-5","uncultured_soil","Zotu1064",0.000170240046044935
"Zotu107","Zotu107","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu107",0.000254902484536847
"Zotu109","Zotu109","other","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","uncultured",NA,"Zotu109",0.000239460801413422
"Zotu1092","Zotu1092","diff","Bacteria","FCPU426","FCPU426","FCPU426","FCPU426","FCPU426","metagenome","Zotu1092",0.000191266042307415
"Zotu1113","Zotu1113","other","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA,NA,"Zotu1113",0.000775242553232441
"Zotu1114","Zotu1114","other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","Roseimarinus","uncultured_bacterium","Zotu1114",0.000111521609954227
"Zotu11141","Zotu11141","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu11141",0.000113130088471491
"Zotu1117","Zotu1117","other","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae",NA,NA,"Zotu1117",0.000246054785638321
"Zotu112","Zotu112","other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Candidatus_Methylospira","uncultured_bacterium","Zotu112",0.000598928796178301
"Zotu113","Zotu113","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84","SC-I-84",NA,"Zotu113",0.000141085649952529
"Zotu1134","Zotu1134","other","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium","uncultured_bacterium","Zotu1134",0.000193114903317442
"Zotu1142","Zotu1142","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu1142",0.000190138643354248
"Zotu1147","Zotu1147","other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5","SB-5","uncultured_soil","Zotu1147",0.000176476082884473
"Zotu115","Zotu115","other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter",NA,"Zotu115",0.00150973105431685
"Zotu1151","Zotu1151","other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomonas","Methylomonas_sp.","Zotu1151",0.000100684138655784
"Zotu1155","Zotu1155","other","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas_roseiflava","Zotu1155",0.00028620025754995
"Zotu11729","Zotu11729","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales",NA,NA,NA,"Zotu11729",0.00209292741194757
