"","feature","method","group1","group2","p_values","adj_method","p_adjust","Compartment","Experiment","Variety","Timepoint","logFC","int_all","def_all"
"1","ko05340","LinDA","Defoliation","Intact","0.504098823795484","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.151127320280807,0.000897719958591887,0.000808438568114699
"2","ko00564","LinDA","Defoliation","Intact","0.891705779178899","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0216349275064247,0.0103084003025184,0.0101549669166965
"3","ko00680","LinDA","Defoliation","Intact","0.838655146310753","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0165971631539798,0.0133783720130475,0.0135331692161073
"4","ko00562","LinDA","Defoliation","Intact","0.559559980734254","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0541938611440189,0.0025127369394452,0.00260892144183594
"5","ko00563","LinDA","Defoliation","Intact","0.0066529777970419","BH",0.818316269036154,"Root","Exp1","NIP","day1",Inf,0,4.2793054971366e-08
"6","ko03030","LinDA","Defoliation","Intact","0.892728396533977","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0123301753343898,0.00939806225041264,0.00947872819594425
"7","ko00561","LinDA","Defoliation","Intact","0.91517067602391","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0177879674103948,0.00516722821928167,0.00510390910598561
"8","ko00440","LinDA","Defoliation","Intact","0.597401865974253","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.172325180774088,0.000369977109842959,0.000416917287842975
"9","ko00250","LinDA","Defoliation","Intact","0.965337504516725","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0021574548484395,0.0131006247982617,0.0130810483231618
"10","ko04062","LinDA","Defoliation","Intact","0.500492290533715","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.598545619386296,2.12659350628755e-06,1.4044435831945e-06
"11","ko00740","LinDA","Defoliation","Intact","0.76642611817855","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0297398044838443,0.003184275171866,0.00325059725166452
"12","ko04940","LinDA","Defoliation","Intact","0.835705748463489","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0415759541578367,0.000872601672040544,0.000847813702699237
