"","X","level1","Exp1_MH63_Root_day1_logFC","Exp1_MH63_Root_day1_p_values","Exp1_MH63_Root_day3_logFC","Exp1_MH63_Root_day3_p_values","Exp1_MH63_Root_day5_logFC","Exp1_MH63_Root_day5_p_values","Exp1_MH63_Root_day7_logFC","Exp1_MH63_Root_day7_p_values","Exp2_MH63_Root_day2_logFC","Exp2_MH63_Root_day2_p_values","Exp2_MH63_Root_day3_logFC","Exp2_MH63_Root_day3_p_values","Exp2_MH63_Root_day4_logFC","Exp2_MH63_Root_day4_p_values","Exp2_MH63_Root_day5_logFC","Exp2_MH63_Root_day5_p_values","Exp1_NIP_Root_day1_logFC","Exp1_NIP_Root_day1_p_values","Exp1_NIP_Root_day3_logFC","Exp1_NIP_Root_day3_p_values","Exp1_NIP_Root_day5_logFC","Exp1_NIP_Root_day5_p_values","Exp1_NIP_Root_day7_logFC","Exp1_NIP_Root_day7_p_values","Exp2_NIP_Root_day2_logFC","Exp2_NIP_Root_day2_p_values","Exp2_NIP_Root_day3_logFC","Exp2_NIP_Root_day3_p_values","Exp2_NIP_Root_day4_logFC","Exp2_NIP_Root_day4_p_values","Exp2_NIP_Root_day5_logFC","Exp2_NIP_Root_day5_p_values","level2","level3"
"2","WaitData","Methane metabolism",-0.00832108057092189,0.870967314236117,-0.0461111486976891,0.00314935658975481,-0.0779641975095452,0.027195723520945,-0.041161658883515,0.646450437462707,0.0172490030169433,0.707054228413125,0.110476263601553,0.465650616054232,-0.0156175276465131,0.154600639171839,0.0179710968308813,0.685722656715066,0.0165971631539798,0.838655146310753,-0.0194045864874811,0.718630917031817,-0.00716124365604222,0.886149182727117,0.0347157582018297,0.713826358367339,0.01328376261073,0.832470759787228,-0.0115775492993855,0.893245427635715,0.0845480106101707,0.247245169291659,0.106180814829081,0.33790000260159,"Energy metabolism","Metabolism"
"3","WaitData","Inositol phosphate metabolism",0.0322084594636817,0.977153788563261,0.0226209261598052,0.0431171170829812,-0.177061972309747,0.0524255962756567,-0.0376827526062879,0.714165390501745,0.000503342148809321,0.864172501778457,0.0613602134793121,0.605736890836706,-0.142631783363056,0.00402991257501321,0.0816258257819741,0.530075340776141,0.0541938611440189,0.559559980734254,-0.00991095167335008,0.90233359790995,0.0182262857178389,0.922867794216219,0.00537028055750962,0.959320896743969,0.0286201864407892,0.74095250787476,0.0506160505736482,0.351971623795336,0.164195522244781,0.0854877248080266,0.046575332860899,0.558179928935888,"Carbohydrate metabolism","Metabolism"
"4","WaitData","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",-Inf,0.103221552187502,-0.636330348024715,0.489985870020493,-0.0447788600829527,0.990276290672446,1.60566872614213,0.709468370483848,0.347648187355346,0.324588484562641,0.391149801491994,0.590592891065113,0.82162836957552,0.312718998674103,-0.406079492353008,0.778266443113391,Inf,0.0066529777970419,Inf,0.588508891070723,0.10570107467008,0.350096281601339,-Inf,0.931836298370418,-0.340926876969063,0.972343955347726,0.260579972313271,0.54026694041415,0.365041093005577,0.874836209797165,2.51590392344683,0.0625965248355939,"Glycan biosynthesis and metabolism","Metabolism"
"6","WaitData","Phosphonate and phosphinate metabolism",0.103672699012882,0.829219735414166,-0.445211831377415,0.00730674643275718,-0.511643982831876,0.160045115659251,-0.455658960616005,0.109887801447906,0.222764142789073,0.104856487080711,0.382766426284794,0.00426734289389071,-0.529931133195956,0.0119319282572038,0.505496822464516,0.203699432352752,0.172325180774088,0.597401865974253,-0.146152475325664,0.46918429788902,0.318634427144699,0.126807044207811,0.403666918434087,0.197105730388918,0.219492390039151,0.595292999428438,0.0678253463745238,0.702093579961189,0.478312931030804,0.10802850197738,0.540085080043551,0.253729212403082,"Metabolism of other amino acids","Metabolism"
"16","WaitData","Glycosphingolipid biosynthesis - ganglio series",0.683012975368729,0.501888473401839,0.652904241219417,0.246989505247351,-0.286230322820293,0.210935020653618,-0.667428658798068,0.0680535522757231,-0.151935303092846,0.348073541525627,0.208513863873712,0.582118979561749,0.216668515547524,0.331402307942509,-0.175719437908801,0.202932344417653,0.127059925344872,0.873726216244018,-0.291453614922748,0.46813953582655,0.223912787234939,0.303529883044386,0.152276698083772,0.512868740423674,0.0165498827518376,0.95501286948033,0.106426852908357,0.516788189115294,-0.140331405439513,0.830383377886223,-0.334015206135536,0.417308902986586,"Glycan biosynthesis and metabolism","Metabolism"
"18","WaitData","Various types of N-glycan biosynthesis",-1.21615502619578,0.010941490354929,0.182753701792097,0.743649833168668,0.843714982275374,0.243060819057188,0.35590541348545,0.432973381584522,-0.376825739555107,0.176706686045314,-0.156735420811008,0.75694145795339,0.131685453732162,0.726398686600116,1.71105757478374,0.387691166659636,0.297603286092519,0.214345283047832,-0.543042385265793,0.0658904308137204,-0.350033633997502,0.345454230202104,-0.853450013109443,0.0673696918165892,-0.709577842016321,0.0036192365579158,-0.769787225950475,0.17895511272393,0.195441947091128,0.445587288368679,-0.77229654906513,0.138005830010124,"Glycan biosynthesis and metabolism","Metabolism"
"21","WaitData","Biosynthesis of ansamycins",0.0311328208195351,0.96838255563448,-0.0796814333210405,0.0195788097582706,-0.178407646690706,0.0357146646771934,-0.177110346380915,0.104567245526527,0.016072344267572,0.799613106704281,0.13333388164481,0.439445637392624,-0.106771042033547,0.00791863766411763,0.022035280956207,0.788959977098352,0.047386091874222,0.730253014689441,-0.089218953247003,0.306158045025238,0.0398777058616977,0.618952556500929,0.0634254936397641,0.582816900446269,0.0270073006541654,0.818638185066808,0.0276025019605328,0.721004346766938,0.0422267064045421,0.491098816372635,0.034346499403759,0.595330706560887,"Metabolism of terpenoids and polyketides","Metabolism"
"22","WaitData","Ether lipid metabolism",0.144451446257698,0.747248622497087,0.380509829897064,0.668274145300755,-1.40459822270964,0.00537099206450949,-0.347292343810739,0.302382159582837,-0.22989932601344,0.224816157625562,0.272199199095303,0.261727753991251,-0.653166819895039,0.0260155011138648,0.391317292577525,0.630162896460798,0.457210074578512,0.626046761905729,-0.220295238183831,0.789661334290988,0.554534086546082,0.168977116279185,0.333954975141027,0.544974270217337,0.208534585677799,0.797250541382808,0.346927940787282,0.496818641224854,0.647200693224571,0.348174574543736,0.0186643800327124,0.886358392847159,"Lipid metabolism","Metabolism"
"25","WaitData","Brassinosteroid biosynthesis",NA,NA,-Inf,0.00350025967907663,0.301884656705626,0.773010141549237,-1.44019002414356,0.259472403122186,1.45102355129897,0.0779222263439937,0.694291797673216,0.302209605273598,0.411361817961871,0.542677463434907,0.899378861683284,0.273001862514086,-1.21775541693996,0.505176736691823,-1.30657338256167,0.393216902693803,0.571874380986537,0.497990079495912,1.63726280890838,0.00966780269519945,-1.40944596049996,0.151112772445541,-0.10273581216759,0.759431097051735,-0.636244407711504,0.566931511954422,-0.450098967995401,0.944487045037949,"Metabolism of terpenoids and polyketides","Metabolism"
"26","WaitData","Glycine, serine and threonine metabolism",-0.017468183193454,0.808868825492311,-0.0180423664026072,0.00549545073824156,-0.06721148411716,0.0293157065828772,-0.0208746774100508,0.783740603712226,-0.0188391563677985,0.9859974749033,-0.00416200176177324,0.909094335437916,0.00967500669263242,0.152027633617989,0.0234026251536498,0.421998326344109,-0.0106658601176272,0.959989063238835,0.00531294895746814,0.993976247097224,0.0332298785879892,0.813657847954107,-0.0109041338803735,0.90967008887473,0.00464750805564078,0.601601955530366,0.00133257552270249,0.936556301641316,0.0563996269106873,0.206999386767065,0.00360785463176518,0.516001484870162,"Amino acid metabolism","Metabolism"
