"","X","level1","Exp1_MH63_Root_day1_logFC","Exp1_MH63_Root_day1_p_values","Exp1_MH63_Root_day3_logFC","Exp1_MH63_Root_day3_p_values","Exp1_MH63_Root_day5_logFC","Exp1_MH63_Root_day5_p_values","Exp1_MH63_Root_day7_logFC","Exp1_MH63_Root_day7_p_values","Exp2_MH63_Root_day2_logFC","Exp2_MH63_Root_day2_p_values","Exp2_MH63_Root_day3_logFC","Exp2_MH63_Root_day3_p_values","Exp2_MH63_Root_day4_logFC","Exp2_MH63_Root_day4_p_values","Exp2_MH63_Root_day5_logFC","Exp2_MH63_Root_day5_p_values","Exp1_NIP_Root_day1_logFC","Exp1_NIP_Root_day1_p_values","Exp1_NIP_Root_day3_logFC","Exp1_NIP_Root_day3_p_values","Exp1_NIP_Root_day5_logFC","Exp1_NIP_Root_day5_p_values","Exp1_NIP_Root_day7_logFC","Exp1_NIP_Root_day7_p_values","Exp2_NIP_Root_day2_logFC","Exp2_NIP_Root_day2_p_values","Exp2_NIP_Root_day3_logFC","Exp2_NIP_Root_day3_p_values","Exp2_NIP_Root_day4_logFC","Exp2_NIP_Root_day4_p_values","Exp2_NIP_Root_day5_logFC","Exp2_NIP_Root_day5_p_values","feature","level2","level3"
"14","WaitData","Lysine degradation",-0.125456471103257,0.354805845842868,-0.325801129325853,0.00127598257828893,-0.0676873505796205,0.206978279696035,-0.0438748769617881,0.528650319015069,0.0419087576989414,0.704307536014366,0.146910971391233,0.259893015762466,-0.0957808214724594,0.00546393892022405,0.026359882256638,0.632026651481507,0.000461478189595086,0.963984432437271,0.0214901635940405,0.835618650678409,-0.00927196431399166,0.881130896000991,0.0175271911447744,0.825454729457159,0.00123221317615444,0.931879114140795,0.0171420877087995,0.712457803125506,0.154078500467811,0.0739860904532549,0.122234569193104,0.327212424515706,"Lysine degradation","Amino acid metabolism","Metabolism"
"38","WaitData","Tryptophan metabolism",-0.21188035293814,0.163869927702826,-0.390420467484005,0.00381509794198852,-0.12285510477352,0.197168518313815,0.00770198659691672,0.843515081476955,0.0648656130217533,0.677385407514692,0.25643962788591,0.0562139108177331,-0.181742031556806,0.00455165486191303,0.0940578210341531,0.373418034884961,-0.0334850679609486,0.814114746520414,0.0312777297204278,0.773428561996153,0.010503476399279,0.990361687459643,0.0533678286737133,0.563943246382608,0.0211483736796133,0.878822291204316,0.0176459237807653,0.752854515315427,0.209573218174833,0.0708092396221996,0.203882638428462,0.328850558981484,"Tryptophan metabolism","Amino acid metabolism","Metabolism"
"42","WaitData","Aminobenzoate degradation",-0.397855619459332,0.0190391952209339,-0.661981350421564,0.00305375941148116,-0.38241195720448,0.191700902063626,-0.259300155209157,0.126592739222593,0.135748065213156,0.631798172942902,0.535666269227442,0.0173506854860239,-0.315354908613149,0.00754450897195014,0.191781773238308,0.363143115858943,-0.0255814257489719,0.84692035962292,-0.00877987659289625,0.896631027201878,0.111801529294876,0.504996881197458,0.169089366757957,0.255672668625833,0.0908320099060357,0.825445011251787,-0.00331292740463178,0.965499494646714,0.375223833876169,0.0775958709950997,0.485279655250888,0.237410145748366,"Aminobenzoate degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"43","WaitData","Naphthalene degradation",-0.233910089159436,0.0387378200044316,-0.702485093709575,0.0029820525386492,-0.307323180277316,0.229530534628682,-0.290570047024593,0.0968477144503907,0.0863071925936583,0.630626946554651,0.378747301172903,0.0148078133447907,-0.214684373610783,0.00225028924584519,0.159132943178488,0.297890871922285,-0.00891146990286821,0.89656366658194,-0.0128358023977827,0.882001796970774,0.0874085287836905,0.490798331494273,0.130218877857163,0.354923119280078,0.088698234287383,0.752106354825127,0.0166678938839755,0.837825381597542,0.363481383263807,0.0748463583447797,0.433491567957222,0.177441541363146,"Naphthalene degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"56","WaitData","Fatty acid degradation",-0.210824968720265,0.103446843962584,-0.384699242063063,0.00155512378578066,-0.107405134021418,0.205144480320467,-0.0475450159727669,0.431993598245566,0.0316551733863581,0.784946004150488,0.205989745223346,0.154180828343805,-0.117965762317654,0.00398201275338439,0.0424037067316793,0.533742521843145,-0.0345879366457112,0.804421321654362,0.0161169891778975,0.892300211828745,0.0294543181747295,0.854556422110126,0.0301329391818372,0.710771637699366,0.0175244676737874,0.876015578829768,-0.000408981617027862,0.951301045034594,0.147390941123124,0.0985181195099664,0.16645614637788,0.281712793959722,"Fatty acid degradation","Lipid metabolism","Metabolism"
"57","WaitData","Synthesis and degradation of ketone bodies",-0.138305358730219,0.488796430142081,-0.528491145825287,0.00395540883677133,-0.0523657844657541,0.480510926367665,-0.0188623476518529,0.740338809386473,0.11022231516703,0.580908981180671,0.254099233465419,0.0503958053410406,-0.203415298841109,0.00519609904807306,0.102034938562451,0.365953192843321,0.0415726147881922,0.647073969278196,0.0149278308582166,0.889998281643481,-0.0721126534381804,0.50784565515779,0.0336004752586322,0.741791918342448,0.0170943942075329,0.926504445696541,0.00957992008391034,0.838054548065851,0.175108197411522,0.150303485711605,0.223690830837093,0.279861312465905,"Synthesis and degradation of ketone bodies","Lipid metabolism","Metabolism"
"64","WaitData","Bisphenol degradation",-0.592844862729448,0.0701145697499463,-1.05131938144001,0.00367986102597254,-0.670907437857528,0.225060860729775,-0.54274706773822,0.118541181240482,0.233537310968041,0.531129328105122,0.930475871938527,0.0384282691175682,-0.385012156004877,0.00512193234545142,0.364923602607636,0.22240092711654,0.0122240378614312,0.833064843663517,-0.0525717945497748,0.877095798640772,0.337221796614243,0.217745502215532,0.371718954267876,0.183583546949951,0.214845310030032,0.735283957291052,-0.0410537096535561,0.86788140052581,0.565319980947811,0.0871591676933857,0.782014636204609,0.192280407179987,"Bisphenol degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"68","WaitData","ABC transporters",-0.0595187666218319,0.58802332572344,-0.400036128587721,0.0027789364147281,-0.206499119878832,0.159162910991315,-0.206306361340447,0.123860037578919,0.105093471855956,0.359238358530159,0.20671670809339,0.0578248679371873,-0.261133706460397,0.00800792009934537,0.107548778594325,0.418635853651612,0.0301966227312859,0.803367013418913,-0.0591091685534377,0.461958242045501,0.0675064142568767,0.53127261088181,0.0993600543973568,0.469510673603145,0.0535566339466452,0.73510062653747,0.0608780254665528,0.378055833483386,0.242275739474988,0.0938715669248498,0.25766779052939,0.205022625988439,"ABC transporters","Membrane transport","Environmental Information Processing"
"72","WaitData","Pentose and glucuronate interconversions",-0.00231237354998631,0.799841899038698,-0.188638579342883,0.00451701184727491,-0.282993896872375,0.0148868373979086,-0.164899889553626,0.0840320162484203,0.0174367183597776,0.731711490807294,0.192996822657133,0.202296227281622,-0.142722317066406,0.0043513051106458,0.0656040492056039,0.636340918899459,0.0575357271803916,0.687810130477233,-0.0868587519426013,0.443817932249785,0.133256004804348,0.26785520106346,0.119364999169529,0.451653039840323,0.0392523403906299,0.788838150630642,0.0914199356976664,0.294725351793279,0.224763076530513,0.119322335148049,0.120771875468109,0.505917559125538,"Pentose and glucuronate interconversions","Carbohydrate metabolism","Metabolism"
"75","WaitData","Biosynthesis of unsaturated fatty acids",-0.138767668880609,0.366978914804586,-0.0403956972386273,0.00148674531594046,0.000887740993595125,0.763033672535506,0.103882967614748,0.554880469693775,0.00210159120328606,0.870525313824567,0.098686290364354,0.454043554690666,-0.121919635048395,0.00833531664069437,0.0386020632376535,0.390588984820553,-0.0556272552819167,0.613209029053226,0.0380996245943833,0.742671529637423,0.0194326129361496,0.932329175037317,0.00721090281961552,0.89484313876305,-0.00213139694357668,0.874253311910719,-0.0139424789356271,0.892838939234916,0.0602177702275383,0.203179113100926,0.0379053418953352,0.29892329034431,"Biosynthesis of unsaturated fatty acids","Lipid metabolism","Metabolism"
