"","X","feature","method","group1","group2","p_values","adj_method","p_adjust","Compartment","Experiment","Variety","Timepoint","logFC","int_all","def_all","level1","level2","level3"
"2",2,"ko00564","LinDA","Defoliation","Intact",0.891705779178899,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0216349275064247,0.0103084003025184,0.0101549669166965,"Glycerophospholipid metabolism","Lipid metabolism","Metabolism"
"3",3,"ko00680","LinDA","Defoliation","Intact",0.838655146310753,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0165971631539798,0.0133783720130475,0.0135331692161073,"Methane metabolism","Energy metabolism","Metabolism"
"4",4,"ko00562","LinDA","Defoliation","Intact",0.559559980734254,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0541938611440189,0.0025127369394452,0.00260892144183594,"Inositol phosphate metabolism","Carbohydrate metabolism","Metabolism"
"5",5,"ko00563","LinDA","Defoliation","Intact",0.0066529777970419,"BH",0.818316269036154,"Root","Exp1","NIP","day1",Inf,0,4.2793054971366e-08,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","Glycan biosynthesis and metabolism","Metabolism"
"7",7,"ko00561","LinDA","Defoliation","Intact",0.91517067602391,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0177879674103948,0.00516722821928167,0.00510390910598561,"Glycerolipid metabolism","Lipid metabolism","Metabolism"
"8",8,"ko00440","LinDA","Defoliation","Intact",0.597401865974253,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.172325180774088,0.000369977109842959,0.000416917287842975,"Phosphonate and phosphinate metabolism","Metabolism of other amino acids","Metabolism"
"9",9,"ko00250","LinDA","Defoliation","Intact",0.965337504516725,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0021574548484395,0.0131006247982617,0.0130810483231618,"Alanine, aspartate and glutamate metabolism","Amino acid metabolism","Metabolism"
"11",11,"ko00740","LinDA","Defoliation","Intact",0.76642611817855,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0297398044838443,0.003184275171866,0.00325059725166452,"Riboflavin metabolism","Metabolism of cofactors and vitamins","Metabolism"
"13",13,"ko00010","LinDA","Defoliation","Intact",0.999966634692203,"BH",0.999966634692203,"Root","Exp1","NIP","day1",-0.00580037636038544,0.014015293029946,0.0139590574645171,"Glycolysis / Gluconeogenesis","Carbohydrate metabolism","Metabolism"
"15",15,"ko00195","LinDA","Defoliation","Intact",0.788249890911914,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0254356310013064,0.00496732256648588,0.00505567619884978,"Photosynthesis","Energy metabolism","Metabolism"
"17",17,"ko00760","LinDA","Defoliation","Intact",0.995689896363346,"BH",0.999966634692203,"Root","Exp1","NIP","day1",-0.00807645479609807,0.00757665979621549,0.00753436285570452,"Nicotinate and nicotinamide metabolism","Metabolism of cofactors and vitamins","Metabolism"
"18",18,"ko00920","LinDA","Defoliation","Intact",0.79536889917208,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0330937000029928,0.00648897584377588,0.00634182072702085,"Sulfur metabolism","Energy metabolism","Metabolism"
"19",19,"ko00311","LinDA","Defoliation","Intact",0.301175494347225,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.216687840506605,0.000471559837209195,0.00040579553991964,"Penicillin and cephalosporin biosynthesis","Biosynthesis of other secondary metabolites","Metabolism"
"20",20,"ko00310","LinDA","Defoliation","Intact",0.963984432437271,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.000461478189595086,0.00548184549229023,0.00548359926332547,"Lysine degradation","Amino acid metabolism","Metabolism"
"22",22,"ko00600","LinDA","Defoliation","Intact",0.632218323959403,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0946449477317595,0.000736938954482453,0.000690145317400445,"Sphingolipid metabolism","Lipid metabolism","Metabolism"
"25",25,"ko00604","LinDA","Defoliation","Intact",0.873726216244018,"BH",0.999592632031329,"Root","Exp1","NIP","day1",0.127059925344872,6.75647142065506e-05,7.37851208360859e-05,"Glycosphingolipid biosynthesis - ganglio series","Glycan biosynthesis and metabolism","Metabolism"
"30",30,"ko00909","LinDA","Defoliation","Intact",0.19777190060006,"BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.491445443636254,0.000123011853738146,8.74998167371051e-05,"Sesquiterpenoid and triterpenoid biosynthesis","Metabolism of terpenoids and polyketides","Metabolism"
