"","tTable.Value","tTable.Std.Error","tTable.DF","tTable.t.value","tTable.p.value","group"
"(Intercept)",5256.75422767533,115.622032917167,89,45.4649870361761,2.16210279978867e-63,"Exp1_Chao1"
"factor(Treatment)Intact",129.336722153684,92.197261365318,89,1.40282607355555,0.164147598916829,"Exp1_Chao1"
"factor(Variety)NIP",-1076.05720311631,92.197261365318,89,-11.6712490933173,1.22788227747282e-19,"Exp1_Chao1"
"factor(Compartment)Root",-2711.0402551552,92.197261365318,89,-29.4047807386935,1.29429645228001e-47,"Exp1_Chao1"
"(Intercept)1",1.00065292044177,0.00470440589636705,89,212.7054813052,2.91082140373165e-122,"Exp1_Simpson"
"factor(Treatment)Defoliation",-0.00543737695597066,0.00385136232468938,89,-1.411806134446,0.16149379686444,"Exp1_Simpson"
"factor(Variety)NIP1",-0.0087206517373642,0.00385136232468938,89,-2.26430312241981,0.025984765632067,"Exp1_Simpson"
"factor(Compartment)Root1",-0.0476839953171044,0.00385136232468938,89,-12.3810722796511,4.65110980233765e-21,"Exp1_Simpson"
"(Intercept)2",7.06664117615799,0.0816574482380602,89,86.5400686481929,1.08577892866656e-87,"Exp1_Shannon"
"factor(Treatment)Defoliation1",-0.131210002417296,0.0625039822781569,89,-2.09922628342914,0.038628578222262,"Exp1_Shannon"
"factor(Variety)NIP2",-0.437858298889666,0.0625039822781569,89,-7.00528643024851,4.52121712564686e-10,"Exp1_Shannon"
"factor(Compartment)Root2",-2.16033718780943,0.0625039822781569,89,-34.5631927609899,2.31095659484958e-53,"Exp1_Shannon"
"(Intercept)3",3383.89208333333,53.2869607323552,89,63.5031917156926,6.42430214363085e-76,"Exp1_observed_otu"
"factor(Treatment)Defoliation2",-83.5629166666664,41.0519572191075,89,-2.03554038168422,0.0447704234663809,"Exp1_observed_otu"
"factor(Variety)NIP3",-509.169166666667,41.0519572191075,89,-12.4030424164448,4.20629743023844e-21,"Exp1_observed_otu"
"factor(Compartment)Root3",-1835.56291666667,41.0519572191075,89,-44.7131645117351,8.96699609821045e-63,"Exp1_observed_otu"
"(Intercept)4",5402.34261452514,107.380871595414,89,50.3101021090599,3.68150128211477e-67,"Exp2_Chao1"
"factor(Treatment)Intact1",-34.7898688428852,81.6620623209535,89,-0.426022413028853,0.671120066419665,"Exp2_Chao1"
"factor(Variety)NIP4",-311.223408799256,81.6620623209536,89,-3.81111375287175,0.000254327633992863,"Exp2_Chao1"
"factor(Compartment)Root4",-2267.24854670482,81.6620623209536,89,-27.763792418001,1.30538578345166e-45,"Exp2_Chao1"
"(Intercept)5",0.996936482119066,0.00206543543795859,89,482.676177525262,6.62534025241653e-154,"Exp2_Simpson"
"factor(Treatment)Defoliation3",-4.13089259756977e-05,0.00206543543404557,89,-0.0200001052053154,0.984088058947326,"Exp2_Simpson"
"factor(Variety)NIP5",-0.00487109134053806,0.00206543543404557,89,-2.35838470680105,0.0205444395962123,"Exp2_Simpson"
"factor(Compartment)Root5",-0.016996293951956,0.00206543543404557,89,-8.22891564257972,1.47095984711612e-12,"Exp2_Simpson"
"(Intercept)6",7.0802151197626,0.0469352079893066,89,150.850830817149,5.11122957664979e-109,"Exp2_Shannon"
"factor(Treatment)Defoliation4",0.0236273459859652,0.0469352078863592,89,0.503403458724896,0.615924318615488,"Exp2_Shannon"
"factor(Variety)NIP6",-0.291002268172653,0.0469352078863592,89,-6.20008478235009,1.72757338554798e-08,"Exp2_Shannon"
"factor(Compartment)Root6",-1.57536629380606,0.0469352078863591,89,-33.5647025921432,2.61216031271174e-52,"Exp2_Shannon"
"(Intercept)7",3422.94541666667,45.757724307069,89,74.805849034277,3.90853433493098e-82,"Exp2_observed_otu"
"factor(Treatment)Defoliation5",24.8568750000002,38.18942760523,89,0.650883675370827,0.51679852083556,"Exp2_observed_otu"
"factor(Variety)NIP7",-259.858958333334,38.18942760523,89,-6.80447376743993,1.13531909145795e-09,"Exp2_observed_otu"
"factor(Compartment)Root7",-1532.79645833333,38.18942760523,89,-40.1366701323227,8.52824363959205e-59,"Exp2_observed_otu"
