"Gammaproteobacteria"	"Myxococcota"	"Bacteroidota"	"Desulfobacterota"	"Alphaproteobacteria"	"Firmicutes"	"Spirochaetota"	"Nitrospirota"	"Verrucomicrobiota"	"Acidobacteriota"	"Others"
"E1_MRE_Int1_1"	0.564804425128408	0.232477281706835	0.0463216120110628	0.0430027657052548	0.0109996048992493	0.00554721453970763	0.043271434215725	0.0186961675227183	0.00229158435401027	0.00788621098380087	0.0247016989332279
"E1_MRE_Int1_2"	0.699530258997277	0.159072215824971	0.0212754290727642	0.0301767469064722	0.0108204931366636	0.00687247537058361	0.0413445193836706	0.00944965363455247	0.00100528230154813	0.00323518122498218	0.0172177441465153
"E1_MRE_Int1_3"	0.66625538454878	0.205987401779336	0.024135766391757	0.0318202480680564	0.0072515531311557	0.00558477823235275	0.0277507197437063	0.00833387449401476	0.00101738208108752	0.00454574972400805	0.017317141805745
"E1_MRE_Int3_1"	0.540869182891139	0.143402811173246	0.0607576153116885	0.0375784888913315	0.0564982619090147	0.0130253775023701	0.0527610227944106	0.0202800181366016	0.00468528874294115	0.010194968467045	0.0599469641802118
"E1_MRE_Int3_2"	0.56771436621482	0.119024512412735	0.0455342328522681	0.0223679679428983	0.087030022227092	0.0180947312400213	0.0398522367967943	0.012037066023855	0.00278621294180259	0.0102995961556523	0.0752590551920608
"E1_MRE_Int3_3"	0.624698316568979	0.0802290545503605	0.0461556911361286	0.0165494910731685	0.0873195520844264	0.00926411728552369	0.026338275195251	0.00766013581375826	0.00361270593173335	0.00662579262168523	0.0915468677389858
"E1_MRE_Int5_1"	0.301005025125628	0.202010050251256	0.0672267587939698	0.0288787688442211	0.194440954773869	0.0167870603015075	0.079428391959799	0.0301193467336683	0.00643844221105528	0.0127041457286432	0.0609610552763818
"E1_MRE_Int5_2"	0.390794753267475	0.242450195931201	0.0872187155360537	0.0430344698125161	0.040723185583218	0.0268906774291949	0.0644109158317104	0.0262453950301523	0.00662881009925617	0.0131637609404698	0.0584391205387521
"E1_MRE_Int5_3"	0.362716592203863	0.200895917547219	0.0567335649953904	0.02978512162258	0.127969647542727	0.0208259461503912	0.0548424461622107	0.0263929272155639	0.0105548069876841	0.0133796657447462	0.0959033638276245
"E1_MRE_Int7_1"	0.473816091469963	0.148428123223348	0.0817418037101767	0.0376071255606325	0.0578846518287676	0.0101703480659493	0.0666442062706618	0.0177928449600977	0.00699079825651176	0.0107388768398223	0.08818512981407
"E1_MRE_Int7_2"	0.412955894826124	0.201892493638677	0.0857718405428329	0.0311174724342663	0.0917090754877014	0.0146840542832909	0.0621819338422392	0.0241200169635284	0.00710347752332485	0.00986005089058524	0.05860368956743
