SampleID	Gammaproteobacteria	Myxococcota	Bacteroidota	Desulfobacterota	Alphaproteobacteria	Firmicutes	Spirochaetota	Nitrospirota	Verrucomicrobiota	Acidobacteriota	Others
E1_MRE_Int1_1	0.564804425	0.232477282	0.046321612	0.043002766	0.010999605	0.005547215	0.043271434	0.018696168	0.002291584	0.007886211	0.024701699
E1_MRE_Int1_2	0.699530259	0.159072216	0.021275429	0.030176747	0.010820493	0.006872475	0.041344519	0.009449654	0.001005282	0.003235181	0.017217744
E1_MRE_Int1_3	0.666255385	0.205987402	0.024135766	0.031820248	0.007251553	0.005584778	0.02775072	0.008333874	0.001017382	0.00454575	0.017317142
E1_MRE_Int3_1	0.540869183	0.143402811	0.060757615	0.037578489	0.056498262	0.013025378	0.052761023	0.020280018	0.004685289	0.010194968	0.059946964
E1_MRE_Int3_2	0.567714366	0.119024512	0.045534233	0.022367968	0.087030022	0.018094731	0.039852237	0.012037066	0.002786213	0.010299596	0.075259055
E1_MRE_Int3_3	0.624698317	0.080229055	0.046155691	0.016549491	0.087319552	0.009264117	0.026338275	0.007660136	0.003612706	0.006625793	0.091546868
E1_MRE_Int5_1	0.301005025	0.20201005	0.067226759	0.028878769	0.194440955	0.01678706	0.079428392	0.030119347	0.006438442	0.012704146	0.060961055
E1_MRE_Int5_2	0.390794753	0.242450196	0.087218716	0.04303447	0.040723186	0.026890677	0.064410916	0.026245395	0.00662881	0.013163761	0.058439121
E1_MRE_Int5_3	0.362716592	0.200895918	0.056733565	0.029785122	0.127969648	0.020825946	0.054842446	0.026392927	0.010554807	0.013379666	0.095903364
E1_MRE_Int7_1	0.473816091	0.148428123	0.081741804	0.037607126	0.057884652	0.010170348	0.066644206	0.017792845	0.006990798	0.010738877	0.08818513
E1_MRE_Int7_2	0.412955895	0.201892494	0.085771841	0.031117472	0.091709075	0.014684054	0.062181934	0.024120017	0.007103478	0.009860051	0.05860369
E1_MRE_Int7_3	0.529403026	0.172481244	0.066927477	0.024983287	0.069007354	0.014633422	0.047960978	0.020798772	0.004035952	0.006041548	0.043726942
E1_MRS_Int1_1	0.281089638	0.047352932	0.143099986	0.133654898	0.03059826	0.017923356	0.014119822	0.054152545	0.079141124	0.053143227	0.145724212
E1_MRS_Int1_2	0.392607284	0.063923457	0.103883791	0.12161367	0.031569427	0.023407362	0.02690539	0.040951987	0.038990476	0.032713641	0.123433516
E1_MRS_Int1_3	0.390253031	0.054094877	0.110622485	0.133519575	0.02970072	0.020250491	0.018272225	0.038335583	0.045139214	0.037613784	0.122198014
E1_MRS_Int3_1	0.349106578	0.069694813	0.117390101	0.133934219	0.026782891	0.022058824	0.022691335	0.050245098	0.052498419	0.034926471	0.120671252
E1_MRS_Int3_2	0.347928057	0.059455096	0.128321886	0.116305987	0.031722583	0.025981146	0.019463016	0.046038104	0.06128261	0.032605882	0.130895634
E1_MRS_Int3_3	0.331075189	0.072003488	0.134750822	0.108659199	0.0307197	0.020340063	0.026544369	0.043513985	0.05954457	0.033704474	0.139144141
E1_MRS_Int5_1	0.260569628	0.055846182	0.115409325	0.120258199	0.022653573	0.099118943	0.020496818	0.060924498	0.058675967	0.04062653	0.145420338
E1_MRS_Int5_2	0.313953814	0.069643207	0.134168057	0.153019271	0.021610837	0.027064823	0.023652586	0.043212351	0.061494858	0.035194526	0.11698567
E1_MRS_Int5_3	0.298654022	0.065404868	0.147950137	0.116812638	0.038337542	0.035180807	0.019491161	0.048654022	0.059145129	0.031446456	0.138923217
E1_MRS_Int7_1	0.399103586	0.078203851	0.125564409	0.1062583	0.028403054	0.01185259	0.028353254	0.040388446	0.040687251	0.026842629	0.114342629
E1_MRS_Int7_2	0.320246137	0.089458899	0.143585713	0.107551334	0.032757006	0.013711457	0.034077988	0.044261253	0.046869775	0.033693398	0.133787038
E1_MRS_Int7_3	0.354983564	0.071378258	0.137502935	0.121742193	0.027324489	0.014322611	0.023244893	0.04094271	0.048397511	0.031521484	0.128639352
E1_NRE_Int1_1	0.367524966	0.364740294	0.040507002	0.025187614	0.021162028	0.060346865	0.047265556	0.01789724	0.003035809	0.009203451	0.043129173
E1_NRE_Int1_2	0.399381707	0.377674231	0.028562468	0.018369587	0.024440512	0.048231367	0.035059029	0.01655503	0.002172988	0.004704406	0.044848675
E1_NRE_Int1_3	0.42890019	0.337060362	0.040492147	0.010574883	0.020218009	0.073395525	0.03270131	0.009441058	0.002941209	0.00515273	0.039122577
